เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 303 ทำแท้งโดยไม่ยินยอม,"ผู้ใดทำให้หญิงแท้งลูกโดยหญิงนั้นไม่ยินยอม
ถ้าการกระทำนั้นเป็นเหตุให้หญิงรับอันตรายสาหัสอย่างอื่นด้วย
ถ้าการกระทำนั้นเป็นเหตุให้หญิงถึงแก่ความตาย"
มาตรา 304 พยายามทำแท้ง,ผู้ใดเพียงแต่พยายามกระทำความผิดตามมาตรา 301 หรือมาตรา 302 วรรคแรก ผู้นั้นไม่ต้องรับโทษ
มาตรา 305 ทำแท้งทางการแพทย์,ถ้าการตามมาตรา 301 หรือมาตรา 302 เป็นการกระทำของผู้ประกอบวิชาชีพเวชกรรมและตามหลักเกณฑ์ของแพทยสภาในกรณีต่อไปนี้ ผู้กระทำไม่มีความผิด
มาตรา 309 ข่มขืนใจ,"ผู้ใดข่มขืนใจผู้อื่นให้กระทำการ/ไม่กระทำการ/จำยอม โดยทำให้กลัวว่าจะเกิดอันตรายต่อชีวิต ร่างกาย เสรีภาพ ชื่อเสียงหรือทรัพย์สินของผู้ถูกข่มขืนใจนั้นเองหรือของผู้อื่น หรือโดยใช้กำลังประทุษร้ายจนผู้ถูกข่มขืนใจต้องกระทำการนั้น ไม่กระทำการนั้นหรือจำยอมต่อสิ่งนั้น
ว2.ทำโดยมีอาวุธ หรือร่วมกระทำตั้งแต่ 5 คน ขึ้นไป หรือได้กระทำเพื่อให้ผู้ถูกข่มขืนใจทำ ถอน ทำให้เสียหาย หรือทำลายเอกสารสิทธิอย่างใด"
มาตรา 310 หน่วงเหนี่ยวกักขัง,"ผู้ใดหน่วงเหนี่ยวกักขังผู้อื่น หรือกระทำให้ปราศจากเสรีภาพในร่างกาย
ว2.ถ้าทำเป็นเหตุให้ถึงแก่ความตาย สาหัส ผู้กระทำต้องระวางโทษดังที่บัญญัติไว้ในมาตรา 290 มาตรา 297 มาตรา 298 นั้น"
มาตรา 310 ทวิ,ผู้ใดหน่วงเหนี่ยวกักขังผู้อื่น หรือกระทำด้วยประการใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย และให้ผู้อื่นนั้นกระทำการใดให้แก่ผู้กระทำหรือบุคคลอื่น
มาตรา 311 ประมาทให้ปราศจากเสรีภาพ,"ผู้ใดกระทำโดยประมาท เป็นเหตุให้ผู้อื่นถูกหน่วงเหนี่ยว ถูกกักขังหรือต้องปราศจากเสรีภาพในร่างกาย
ว2.ถ้าเป็นเหตุให้ถึงแก่ความตายหรือรับอันตรายสาหัส ผู้กระทำต้องระวางโทษดังที่บัญญัติไว้ในมาตรา 291 หรือมาตรา 300"
มาตรา 313 เรียกค่าไถ่,"ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่
(1) เอาเด็กอายุไม่เกินสิบห้าปีไป
(2) เอาบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม ใช้วิธีข่มขืนใจอื่น
(3) หน่วงเหนี่ยวหรือกักขังบุคคลใด
ว2.ถ้ารับอันตรายสาหัส หรือทำโดยทรมาน โดยทารุณโหดร้าย จนเป็นเหตุรับอันตรายแก่กาย หรือจิตใจ
ว3.ถ้าผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย"
มาตรา 314 ผู้สนับสนุนเรียกค่าไถ่,ผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตามมาตรา 313 ต้องระวางโทษเช่นเดียวกับตัวการในความผิดนั้น
มาตรา 315 คนกลางเรียกค่าไถ่,ผู้ใดทำเป็นคนกลาง เรียก รับหรือยอมจะรับทรัพย์สินหรือประโยชน์อย่างใดที่มิควรได้จากผู้ทำผิดม.313 หรือจากผู้ที่จะให้ค่าไถ่
มาตรา 316 กลับใจก่อนศาลพิพากษา,ผู้ทำผิดม.313 314 315 จัดให้ผู้ถูกเอาตัวไป ผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังได้รับเสรีภาพก่อนศาลชั้นต้นพิพากษา โดยผู้นั้นมิได้รับอันตรายสาหัสหรือตกอยู่ในภาวะอันใกล้จะเป็นอันตรายต่อชีวิต ให้ลงโทษน้อยกว่าที่กฎหมายกำหนดไว้ แต่ไม่น้อยกว่ากึ่งหนึ่ง
มาตรา 317 พรากเด็ก,"ผู้ใดโดยปราศจากเหตุอันสมควร พรากเด็กไม่เกิน 15 ปีไปเสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล
ว2.โดยทุจริต ซื้อ จำหน่าย หรือรับตัวเด็กซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น
ว3.ถ้าทำเพื่อหากำไร การอนาจาร"
มาตรา 318 พรากผู้เยาว์โดยไม่เต็มใจ,"ผู้ใดพรากผู้เยาว์กว่า 15 ปี แต่ไม่เกิน 18 ปี ไปเสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล โดยไม่เต็มใจไป
ว2.ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวผู้เยาว์ซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น
ว3.ถ้าทำเพื่อหากำไร หรือเพื่อการอนาจาร"
มาตรา 319 พรากผู้เยาว์เต็มใจเพื่ออนาจาร,"ผู้ใดพรากผู้เยาว์กว่า 15 ปี แต่ไม่เกิน 18 ปี ไปเสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล เพื่อหากำไร หรือเพื่อการอนาจาร โดยผู้เยาว์นั้นเต็มใจไปด้วย
ว2.ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวผู้เยาว์ซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น"
มาตรา 321/1 ห้ามอ้างความไม่รู้อายุเด็ก,การกระทำความผิดตามมาตรา 312 วรรคสอง และมาตรา 317 หากเป็นการกระทำต่อเด็กอายุไม่เกินสิบสามปี ห้ามอ้างความไม่รู้อายุของเด็กเพื่อให้พ้นจากความผิดนั้น
มาตรา 326 หมิ่นประมาท,ผู้ใดใส่ความผู้อื่นต่อบุคคลที่สาม โดยประการที่น่าจะทำให้ผู้อื่นนั้นเสียชื่อเสียง ถูกดูหมิ่น หรือถูกเกลียดชัง ผู้นั้นกระทำความผิดฐานหมิ่นประมาท
มาตรา 328 หมิ่นประมาทโดยการโฆษณา,ถ้าความผิดฐานหมิ่นประมาทได้กระทำโดยการโฆษณาด้วยเอกสาร ภาพวาด ภาพระบายสี ภาพยนตร์ ภาพหรือตัวอักษรที่ทำให้ปรากฏไม่ว่าด้วยวิธีใด ๆ แผ่นเสียง หรือสิ่งบันทึกเสียง บันทึกภาพ หรือบันทึกอักษร กระทำโดยการกระจายเสียง หรือการกระจายภาพ หรือโดยกระทำการป่าวประกาศด้วยวิธีอื่น
มาตรา 329 ข้อยกเว้นหมิ่นประมาท,"ผู้ใดแสดงความคิดเห็นหรือข้อความใดโดยสุจริต
(1) เพื่อความชอบธรรม ป้องกันตน/ส่วนได้เสียตามคลองธรรม
(2) ในฐานะเป็นเจ้าพนักงานปฏิบัติการตามหน้าที่
(3) ติชมด้วยความเป็นธรรม ซึ่งเป็นวิสัยของประชาชนย่อมกระทำ
(4) แจ้งข่าวด้วยความเป็นธรรม ในศาลหรือในการประชุม
ผู้นั้นไม่มีความผิดฐานหมิ่นประมาท"
มาตรา 330 พิสูจน์ไม่เป็นการหมิ่น,"ในกรณีหมิ่นประมาท ถ้าผู้ถูกหาว่าทำผิด พิสูจน์ได้ว่าข้อที่หาว่าหมิ่นประมาทนั้นเป็นความจริง ผู้นั้นไม่ต้องรับโทษ
แต่ห้ามไม่ให้พิสูจน์ ถ้าข้อที่หาว่าเป็นหมิ่นประมาทนั้นเป็นการใส่ความในเรื่องส่วนตัว และการพิสูจน์จะไม่เป็นประโยชน์แก่ประชาชน"
มาตรา 334 ลักทรัพย์,ผู้ใดเอาทรัพย์ของผู้อื่น หรือที่ผู้อื่นเป็นเจ้าของรวมอยู่ด้วยไปโดยทุจริต ผู้นั้นกระทำความผิดฐานลักทรัพย์
มาตรา 335 เหตุฉกรรจ์ลักทรัพย์,"ผู้ใดลักทรัพย์
(1) ในเวลากลางคืน
(2) ในที่หรือบริเวณที่มีเหตุเพลิงไหม้ การระเบิด อุทกภัย
(3) โดยทำต่อสิ่งกั้นโดยผ่านสิ่งเช่นว่านั้นเข้าไปด้วยประการใด ๆ
(4) เข้าทางช่องทางซึ่งไม่ให้เข้า
(5) โดยปลอมตัวเป็นผู้อื่น ทำเพื่อไม่ให้เห็นหรือจำหน้าได้
(6) โดยลวงว่าเป็นเจ้าพนักงาน
(7) โดยมีอาวุธ โดยร่วมกระทำความผิดด้วยกันตั้งแต่สองคนขึ้นไป
(8) ในเคหสถาน สถานที่ราชการที่สาธารณะ
(9) ในที่บูชา สถานีรถไฟ ท่าอากาศยาน ที่จอดรถเรือสาธารณะ สาธารณสถานสำหรับขนถ่ายสินค้า หรือในยวดยานสาธารณะ
(10) ที่ใช้หรือมีไว้เพื่อสาธารณประโยชน์
(11) ที่เป็นของนายจ้างหรือที่อยู่ในความครอบครองของนายจ้าง
(12) เป็นของผู้มีอาชีพกสิกรรม ผลิตภัณฑ์ พืชพันธุ์ สัตว์เครื่องมือ
ถ้าทำตั้งแต่สองอนุมาตราขึ้นไป
ทำต่อทรัพย์ที่เป็นโค กระบือ เครื่องจักรของผู้มีอาชีพกสิกรรม
ถ้าเป็นการกระทำโดยความจำใจหรือความยากจนทรัพย์นั้นมีราคาเล็กน้อย ศาลจะลงโทษผู้กระทำมาตรา 334 ก็ได้"
มาตรา 336 วิ่งราวทรัพย์,"ผู้ใดลักทรัพย์โดยฉกฉวยเอาซึ่งหน้า ผู้นั้นกระทำความผิดฐานวิ่งราวทรัพย์
ถ้าเป็นเหตุให้ผู้อื่นรับอันตรายแก่กายหรือจิตใจ
ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายสาหัส
ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นถึงแก่ความตาย"
มาตรา 336 ทวิ บทหนัก,ผู้ใดกระทำม.334 335 335 ทวิ 336 แต่งเครื่องแบบทหารหรือตำรวจ หรือแต่งกายให้เข้าใจว่าเป็น หรือโดยมี/ใช้อาวุธปืน/ระเบิด โดยใช้ยานพาหนะ เพื่อสะดวกแก่การกระทำผิดหรือการพาทรัพย์นั้นไป หรือเพื่อให้พ้นการจับกุม ต้องระวางโทษหนักกว่าที่บัญญัติไว้ในมาตรานั้น กึ่งหนึ่ง
มาตรา 337 กรรโชกทรัพย์,"ผู้ใดข่มขืนใจผู้อื่น ให้ยอมให้ หรือยอมจะให้ ตนหรือผู้อื่นได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยใช้กำลังประทุษร้าย ขู่เข็ญว่าจะทำอันตรายต่อชีวิต ร่างกาย เสรีภาพ ชื่อเสียงหรือทรัพย์สิน ของผู้ถูกขู่เข็ญหรือของบุคคลที่ สาม จนผู้ถูกข่มขืนใจยอม ผู้นั้นกระทำความผิดฐานกรรโชก
ถ้าความผิดฐานกรรโชกได้กระทำโดย
(1) ขู่ว่าจะฆ่า ขู่ว่าจะทำร้ายร่างกายให้ผู้ถูกข่มขืนใจ หรือผู้อื่นให้ได้รับอันตรายสาหัส หรือขู่ว่าจะทำให้เกิดเพลิงไหม้แก่ทรัพย์ของผู้ถูกข่มขืนใจหรือผู้อื่น
(2) มีอาวุธติดตัวมาขู่เข็ญ"
มาตรา 338 รีดเอาทรัพย์,ผู้ใดข่มขืนใจผู้อื่น ให้ยอมให้ หรือยอมจะให้ ตนหรือผู้อื่นได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยขู่เข็ญว่าจะเปิดเผยความลับซึ่งการเปิดเผยนั้นจะทำให้ผู้ถูกขู่เข็ญหรือบุคคลที่สามเสียหาย จนผู้ถูกข่มขืนใจยอมเช่นว่านั้น ผู้นั้นกระทำความผิดฐานรีดเอาทรัพย์
มาตรา 339 ชิงทรัพย์,"ผู้ใดลักทรัพย์ โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่าในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อ
(1) ให้ความสะดวกแก่การลักทรัพย์หรือการพาทรัพย์นั้นไป
(2) ให้ยื่นให้ซึ่งทรัพย์นั้น
(3) ยึดถือเอาทรัพย์นั้นไว้
(4) ปกปิดการกระทำความผิดนั้น
(5) ให้พ้นจากการจับกุม
ผู้นั้นกระทำความผิดฐานชิงทรัพย์
ถ้าทำตามอนุมาตราม.335 หรือทำต่อทรัพย์ที่เป็นโค กระบือ
ถ้าเป็นเหตุให้ผู้อื่นรับอันตรายแก่กายหรือจิตใจ
ถ้าเป็นเหตุให้ผู้อื่นรับอันตรายสาหัส
ถ้าเหตุให้ผู้อื่นถึงแก่ความตาย"
มาตรา 340 ปล้นทรัพย์,"ผู้ใดชิงทรัพย์โดยร่วมกันทำด้วยกันตั้งแต่สามคนขึ้นไป ผู้นั้นกระทำความผิดฐานปล้นทรัพย์
ถ้าในการปล้นทรัพย์ ผู้กระทำแม้แต่คนหนึ่งคนใดมีอาวุธติดตัว
ถ้าเป็นเหตุให้ผู้อื่นรับอันตรายสาหัส
ถ้าทำโดยแสดงความทารุณจนเป็นเหตุให้ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ใช้ปืนยิง ใช้วัตถุระเบิด หรือกระทำทรมาน
ถ้าการปล้นทรัพย์เป็นเหตุให้ผู้อื่นถึงแก่ความตาย"
มาตรา 340 ตรี บทหนักชิง/ปล้น,ผู้ใดทำผิดม.339 339 ทวิ 340 340 ทวิ โดยแต่งเครื่องแบบทหารหรือตำรวจหรือแต่งกายให้เข้าใจว่าเป็น หรือโดยมีหรือใช้อาวุธปืน/ระเบิด หรือโดยใช้ยานพาหนะเพื่อกระทำผิด หรือพาทรัพย์นั้นไป หรือเพื่อให้พ้นการจับกุม ต้องระวางโทษหนักกว่าที่บัญญัติไว้ในมาตรานั้น ๆ กึ่งหนึ่ง
มาตรา 341 ฉ้อโกง,ผู้ใดโดยทุจริต หลอกลวงผู้อื่นด้วยการแสดงข้อความอันเป็นเท็จ หรือปกปิดข้อความจริงซึ่งควรบอกให้แจ้ง โดยการหลอกลวงนั้นได้ไปซึ่งทรัพย์สินจากผู้ถูกหลอกลวงหรือบุคคลที่สาม หรือทำให้ผู้ถูกหลอกลวงหรือบุคคลที่สาม ทำ ถอน หรือทำลายเอกสารสิทธิ ผู้นั้นกระทำความผิดฐานฉ้อโกง
มาตรา 343 ฉ้อโกงประชาชน,ถ้าทำผิดมาตรา 341 ได้กระทำด้วยการแสดงข้อความอันเป็นเท็จต่อประชาชน หรือด้วยการปกปิดความจริงซึ่งควรบอกให้แจ้งแก่ประชาชน
มาตรา 349 โกงเจ้าหนี้จำนำ,ผู้ใดเอาไปเสีย ทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ไร้ประโยชน์ซึ่งทรัพย์ อันตนจำนำไว้แก่ผู้อื่น ถ้าได้กระทำเพื่อให้เกิดความเสียหายแก่ผู้รับจำนำ
มาตรา 350 โกงเจ้าหนี้,ผู้ใดเพื่อให้เจ้าหนี้ของตนหรือของผู้อื่นได้รับชำระหนี้ทั้งหมดหรือแต่บางส่วน ซึ่งได้ใช้หรือจะใช้สิทธิเรียกร้องทางศาลให้ชำระหนี้ ย้ายไปเสีย ซ่อนเร้น หรือโอนไปให้แก่ผู้อื่นซึ่งทรัพย์ใดก็ดี แกล้งให้ตนเองเป็นหนี้จำนวนใดอันไม่เป็นความจริงก็ดี
มาตรา 352 ยักยอก,"ผู้ใดครอบครองทรัพย์ผู้อื่น หรือผู้อื่นเป็นเจ้าของรวมอยู่ด้วย เบียดบังเอาทรัพย์นั้นเป็นของตนหรือบุคคลที่สามโดยทุจริต ผู้นั้นกระทำความผิดฐานยักยอก
ถ้าทรัพย์ตกมาอยู่ในความครอบครองของผู้กระทำความผิด เพราะผู้อื่นส่งมอบให้โดยสำคัญผิด หรือเป็นทรัพย์สินหายซึ่งผู้กระทำความผิดเก็บได้ ผู้กระทำต้องระวางโทษแต่เพียงกึ่งหนึ่ง"
มาตรา 357 รับของโจร,"ผู้ใดช่วยซ่อนเร้น ช่วยจำหน่าย ช่วยพาเอาไปเสีย ซื้อ รับจำนำหรือรับไว้ โดยประการใดซึ่งทรัพย์อันได้มาโดยการกระทำความผิด ถ้าความผิดนั้นเข้าลักษณะลัก/วิ่ง/กรร/รีด/ชิง/ปล้น/ฉ้อ/ยักยอก/เจ้าพนักงานยักยอก ผู้นั้นกระทำความผิดฐานรับของ
ถ้าทำเพื่อค้ากำไร หรือทำต่อทรัพย์ตามม.335(10) ชิง/ปล้น
ถ้าทำต่อทรัพย์อันได้มาโดย ม.335 ทวิ 339 ทวิ 340 ทวิ"
มาตรา 358 ทำให้เสียทรัพย์,ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ไร้ประโยชน์ ซึ่งทรัพย์ของผู้อื่นหรือผู้อื่นเป็นเจ้าของ ผู้นั้นกระทำความผิดฐานทำให้เสียทรัพย์
มาตรา 360 ทำลายสาธารณทรัพย์,ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ไร้ประโยชน์ ซึ่งทรัพย์ที่ใช้หรือมีไว้เพื่อสาธารณประโยชน์
มาตรา 362 บุกรุก,ผู้ใดเข้าไปในอสังหาของผู้อื่น เพื่อถือครอบครองอสังหานั้นทั้งหมดหรือแต่บางส่วน หรือเข้าไปกระทำการใด ๆ อันเป็นการรบกวนการครอบครองอสังหาริมทรัพย์ของเขาโดยปกติสุข
มาตรา 364,ผู้ใดเข้าไปหรือซ่อนตัวอยู่ในเคหสถาน อาคารเก็บรักษาทรัพย์หรือสำนักงานในความครอบครองของผู้อื่น หรือไม่ยอมเมื่อผู้มีสิทธิที่จะห้ามมิให้เข้าไปได้ไล่ออก
มาตรา 365 เหตุฉกรรจ์,"ถ้า ม.362 363 364 ได้กระทำ
(1) โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย
(2) โดยมีอาวุธหรือโดยร่วมทำความผิดด้วยกันตั้งแต่สองคนขึ้นไป
(3) ในเวลากลางคืน"
มาตรา 366/3 เคลื่อนย้าย ทำลายศพ,ผู้ใดโดยไม่มีเหตุอันสมควร ทำให้เสียหาย เคลื่อนย้าย ทำลาย ทำให้เสื่อมค่าหรือทำให้ไร้ประโยชน์ ซึ่งศพ ส่วนของศพ
มาตรา 371,ผู้ใดพาอาวุธไปในเมือง หมู่บ้านหรือทางสาธารณะโดยเปิดเผยหรือโดยไม่มีเหตุสมควร
มาตรา 390,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุให้ผู้อื่นรับอันตรายแก่กายหรือจิตใจ
มาตรา 391,ผู้ใดใช้กำลังทำร้ายผู้อื่น โดยไม่ถึงกับเป็นเหตุให้เกิดอันตรายแก่กายหรือจิตใจ
มาตรา 392,ผู้ใดทำให้ผู้อื่นเกิดความกลัว หรือความตกใจ โดยการขู่เข็ญ
มาตรา 393,ผู้ใดดูหมิ่นผู้อื่นซึ่งหน้าหรือด้วยการโฆษณา
