เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 224 ผลฉกรรจ์,"ถ้าตามม.217 218 221 222 เป็นเหตุให้บุคคลอื่นถึงแก่ความตาย
ว2.ถ้าเป็นเหตุให้บุคคลอื่นรับอันตรายสาหัส"
มาตรา 225 เกิดเพลิงไหม้โดยประมาท,ผู้ใดทำให้เกิดเพลิงไหม้โดยประมาท เป็นเหตุให้ทรัพย์ของผู้อื่นเสียหาย หรือการกระทำโดยประมาทน่าจะเป็นอันตรายแก่ชีวิตของบุคคลอื่น
มาตรา 240 ปลอมเงิน,ผู้ใดปลอมเงินตรา เพื่อให้เป็นเหรียญกระษาปณ์ ธนบัตรหรือสิ่งอื่นใดซึ่งรัฐบาลออกใช้ อำนาจให้ออก ปลอมพันธบัตรรัฐบาลหรือใบรับดอกเบี้ยพันธบัตร ผู้นั้นกระทำความผิดฐานปลอมเงินตรา
มาตรา 244 ครอบครองเงินปลอม,ผู้ใดมีไว้เพื่อนำออกใช้ ตนได้มาโดยรู้ว่าเป็นของปลอมตามม.240 หรือของแปลงตามมาตรา 241
มาตรา 245 ได้ไม่รู้ว่าเป็นเงินปลอม แต่ยังใช้,ผู้ใดได้มาโดยไม่รู้ว่าเป็นของปลอม ม.240 241 ถ้าต่อมารู้ว่าเป็นของปลอมหรือของแปลงเช่นว่านั้น ยังขืนนำออกใช้
มาตรา 246 ทำ/มีเครื่องมือปลอมเงิน,ผู้ใดทำเครื่องมือ/วัตถุ สำหรับปลอมเงิน ไม่ว่าจะเหรียญ ธนบัตร หรือสิ่งใด ซึ่งรัฐบาลออกใช้หรือให้อำนาจให้ออกใช้ หรือปลอมพันธบัตรรัฐบาล หรือมีเครื่องมือ เพื่อใช้ในการปลอมหรือแปลง
มาตรา 247 ปลอมเงินต่างประเทศ,ถ้าทำเกี่ยวกับเงินตรา เป็นเหรียญ ธนบัตร ซึ่งรัฐบาลต่างประเทศออกใช้ หรือให้อำนาจให้ออกใช้ พันธบัตรรัฐบาลต่างประเทศ
มาตรา 264 ปลอมเอกสาร,"ผู้ใดทำเอกสารปลอมทั้งฉบับหรือส่วนหนึ่ง เติม ตัดทอนข้อความ แก้ไข ในเอกสารที่แท้จริง หรือประทับตราปลอม หรือลงลายมือชื่อปลอม โดยประการที่น่าจะเกิดความเสียหายแก่ผู้อื่นหรือประชาชน ถ้าได้กระทำ เพื่อให้ผู้ใดหลงเชื่อว่าเป็นเอกสารที่จริง ผู้นั้นกระทำความผิดฐานปลอมเอกสาร
ว2.ผู้ใดกรอกข้อความในกระดาษ วัตถุ ซึ่งมีลายมือชื่อของผู้อื่น โดยไม่ได้รับความยินยอม โดยฝ่าฝืนคำสั่งของผู้นั้น กระทำเพื่อนำเอาเอกสารนั้นไปใช้ในกิจการที่อาจเกิดเสียหายแก่ผู้ใดหรือประชาชน ให้ถือว่าผู้นั้นปลอมเอกสาร ต้องระวางโทษเช่นเดียวกัน"
มาตรา 265 ปลอมเอกสารสิทธิ,ผู้ใดปลอมเอกสารสิทธิ หรือเอกสารราชการ
มาตรา 266,ผู้ใดปลอมเอกสารดังต่อไปนี้ (1) เอกสารสิทธิราชการ (2) พินัยกรรม (3) หุ้น หุ้นกู้ (4) ตั๋วเงิน (5) บัตรเงินฝาก
มาตรา 267 แจ้งจดเท็จ,ผู้ใดแจ้งให้เจ้าพนักงานผู้ทำตามหน้าที่จดข้อความอันเป็นเท็จลงในเอกสารมหาชนหรือเอกสารราชการ
มาตรา 268 ใช้เอกสารปลอม,"ผู้ใดใช้หรืออ้างเอกสารปลอม ม. 264 265 267 ในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่นหรือประชาชน
ว2.ถ้าผู้ทำผิดตามว1เป็นผู้ปลอม หรือแจ้งให้เจ้าพนักงานจดข้อความนั้นเองให้ลงโทษตามมาตรานี้แต่กระทงเดียว"
มาตรา 269/1 ปลอมบัตรอิเล็กทรอนิกส์,ผู้ใดทำบัตรอิเล็กทรอนิกส์ปลอม ทั้งฉบับ/ส่วนหนึ่ง เติม/ตัดข้อความหรือแก้ไข ในบัตรอิเล็กทรอนิกส์ที่แท้จริง โดยน่าจะเกิดความเสียหายแก่ผู้อื่นหรือประชาชน ถ้าได้ทำเพื่อให้ผู้ใดหลงเชื่อว่าเป็นบัตรอิเล็กทรอนิกส์ที่แท้จริง หรือเพื่อใช้ประโยชน์ ผู้นั้นทำความผิดฐานปลอมบัตรอิเล็กทรอนิกส์
มาตรา 269/4 ใช้หรือมีไว้เพื่อใช้บัตรอิเล็กทรอนิกส์ปลอม,"ผู้ใดใช้หรือมีไว้เพื่อใช้ ม.269/1 โดยรู้ว่าเป็นของปลอม
ว2.ผู้ใดจำหน่ายหรือมีไว้เพื่อจำหน่ายทำปลอม ม.269/1
ว3.ถ้าผู้กระทำเป็นผู้ปลอม ให้ลงโทษตามมาตรานี้แต่กระทงเดียว"
มาตรา 269/5 ใช้บัตรอิเล็กทรอนิกส์ผู้อื่น,ผู้ใดใช้บัตรอิเล็กทรอนิกส์ของผู้อื่นโดยมิชอบ ในประการที่น่าจะก่อให้เกิดความเสียหายแก่ผู้อื่นหรือประชาชน
มาตรา 269/6 มีไว้เพื่อใช้บัตรอิเล็กทรอนิกส์ผู้อื่น,ผู้ใดมีไว้เพื่อนำใช้ซึ่งบัตรอิเล็กทรอนิกส์ของผู้อื่นโดยมิชอบม.269/5 ในประการที่น่าจะก่อให้เกิดความเสียหายแก่ผู้อื่นหรือประชาชน
มาตรา 276 ข่มขืนกระทำชำเรา,"ผู้ใดข่มขืนกระทำชำเราผู้อื่น โดยขู่เข็ญ/โดยใช้กำลังประทุษร้าย/โดยผู้อื่นไม่สามารถขัดขืนได้/โดยทำให้ผู้อื่นเข้าใจผิดเป็นบุคคล
ว2.ถ้าตามว1. ได้ทำให้ผู้ถูกกระทำเข้าใจ มีอาวุธปืน/ระเบิด
ว3. ถ้าตามว1. ได้ทำโดยมีอาวุธปืน/ระเบิด/โดยใช้อาวุธ/โดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกัน"
มาตรา 277 ข่มขืนกระทำชำเราเด็ก,"ผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม
ว2.ทำแก่เด็กอายุยังไม่เกินสิบสามปี
ว3.ถ้าตามว1. ได้ทำโดยมีอาวุธปืน/ระเบิด/โดยใช้อาวุธ/โดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกัน"
มาตรา 278 อนาจาร,"ผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปี โดยขู่เข็ญ/โดยใช้กำลังประทุษร้าย/โดยผู้อื่นไม่สามารถขัดขืนได้/โดยทำให้ผู้อื่นเข้าใจผิดเป็นบุคคล
เป็นการกระทำโดยใช้วัตถุหรืออวัยวะอื่นซึ่งมิใช่อวัยวะเพศล่วงล้ำอวัยวะเพศหรือทวารหนักของบุคคลนั้น"
มาตรา 279 อนาจารเด็ก,"ผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม
เป็นการกระทำโดยใช้วัตถุหรืออวัยวะอื่นซึ่งมิใช่อวัยวะเพศล่วงล้ำอวัยวะเพศหรือทวารหนักของบุคคลนั้น"
มาตรา 282 ธุระจัดหา,"ผู้ใดเพื่อสนองความใคร่ของผู้อื่น เป็นธุระจัดหา ล่อไป หรือพาไปเพื่อการอนาจารซึ่งชายหรือหญิง แม้ผู้นั้นจะยินยอมก็ตาม
ถ้าเป็นการกระทำแก่บุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปี
ถ้าเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบห้าปี
ผู้ใดเพื่อสนองความใคร่ของผู้อื่น รับตัวบุคคลซึ่งมีผู้จัดหา ล่อไป หรือพาไปตามวรรคแรก วรรคสอง หรือวรรคสาม หรือสนับสนุน"
มาตรา 284 พาผู้อื่นไปเพื่อการอนาจาร,"ผู้ใดพาผู้อื่นไปเพื่อการอนาจาร โดยใช้อุบายหลอกลวงขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจด้วยประการอื่นใด
ผู้ใดซ่อนเร้นบุคคลซึ่งถูกพาไปตามวรรคแรก"
