เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 32 สิทธิลาป่วย,ลูกจ้างมีลาป่วยได้ตามที่ป่วยจริง หากลา 3 วันทำงานขึ้นไป นายจ้างอาจให้แสดงใบรับรองแพทย์ หากไม่สามารถแสดงได้ ให้ลูกจ้างชี้แจงต่อนายจ้าง
มาตรา 33 สิทธิลาทำหมัน,ลูกจ้างมีสิทธิลาเพื่อทำหมันได้และมีสิทธิลาเนื่องจากการทำหมันตามระยะเวลาที่แพทย์กำหนดและออกใบรับรอง
มาตรา 34 สิทธิลากิจ,ลูกจ้างมีสิทธิลาเพื่อกิจ ที่จำเป็นได้ปีละไม่น้อยกว่า 3 วันทำงาน
มาตรา 53 ค่าจ้างเท่าเทียม,นายจ้างต้องกำหนดค่าจ้าง ค่าล่วงเวลา ค่าทำงานในวันหยุด และค่าล่วงเวลาในวันหยุดให้แก่ลูกจ้างที่ทำงานลักษณะ คุณภาพ ปริมาณเท่ากัน เท่าเทียม ในอัตราเท่ากัน ไม่ว่าลูกจ้างจะเป็นชายหรือหญิง
มาตรา 61 ล่วงเวลา,เมื่อนายจ้างทำงานล่วงเวลาในวันทำงาน ต้องจ่ายค่าล่วงเวลาไม่น้อยกว่า 1 เท่าครึ่งของค่าจ้างต่อชั่วโมงในวันทำงาน หรือตามหน่วย
มาตรา 62 ค่าทำงานในวันหยุด,"เมื่อนายจ้างให้ลูกทำงานในวันหยุดตามมาตรา 28 มาตรา 29 หรือมาตรา 30 นายจ้างต้องจ่ายค่าทำงานในวันหยุด ดังนี้
(1) ลูกจ้างที่มีสิทธิได้รับค่าจ้างในวันหยุด ให้นายจ้างจ่ายเพิ่มจากค่าจ้างอีกไม่น้อยกว่าหนึ่งเท่าของค่าจ้างต่อชั่วโมงในวันทำงานหรือตามหน่วย
(2) ลูกจ้างที่ไม่มีสิทธิได้รับค่าจ้างในวันหยุด ให้นายจ้างจ่ายไม่น้อยกว่าสองเท่าของค่าจ้างต่อชั่วโมงในวันทำงานตามเวลาที่ทำ หรือตามหน่วย"
มาตรา 63 ค่าล่วงเวลาในวันหยุด,เมื่อนายจ้างให้ลูกจ้างทำงานล่วงเวลาในวันหยุด ต้องจ่ายค่าล่วงเวลาในวันหยุดไม่น้อยกว่าสามเท่าของค่าจ้างต่อชั่วโมงในวันทำงานตามเวลาที่ทำ หรือตามหน่วย
มาตรา 75 ค่าจ้างหยุดกิจการ,"เมื่อนายจ้างจำเป็นต้องหยุดกิจการทั้งหมดหรือบางส่วนชั่วคราว ด้วยเหตุสำคัญที่กระทบต่อการประกอบกิจการจนไม่สามารถดำเนินงานได้ตามปกติ และไม่ใช่เหตุสุดวิสัย นายจ้างต้องจ่ายค่าจ้างให้ลูกจ้างไม่น้อยกว่าร้อยละ 75 ของค่าจ้างในวันทำงานที่ลูกจ้างเคยได้รับ ก่อนการหยุดกิจการ ตลอดเวลาที่ลูกจ้างไม่ได้ทำงาน โดยจ่าย ณ สถานที่ตามมาตรา 55 และภายในกำหนดเวลาตามมาตรา 70 (1)
นายจ้างต้องแจ้งให้ลูกจ้างและพนักงานตรวจแรงงานทราบล่วงหน้าเป็นหนังสือ ไม่น้อยกว่า 3 วันทำการ ก่อนวันเริ่มหยุดกิจการตามวรรคหนึ่ง"
มาตรา 108 ข้อบังคับเกี่ยวกับการทำงาน,"นายจ้างที่มีลูกจ้างตั้งแต่ 10 คนขึ้นไป ต้องจัดทำข้อบังคับเกี่ยวกับการทำงานเป็นภาษาไทย โดยอย่างน้อยต้องมีรายละเอียดดังนี้
(1) วันทำงาน เวลาทำงานปกติ และเวลาพัก
(2) วันหยุดและหลักเกณฑ์การหยุด
(3) หลักเกณฑ์การทำงานล่วงเวลาและการทำงานในวันหยุด
(4) วันและสถานที่จ่ายค่าจ้าง ค่าล่วงเวลา ค่าทำงานในวันหยุด และค่าล่วงเวลาในวันหยุด
(5) วันลาและหลักเกณฑ์การลา
(6) วินัยและโทษทางวินัย
(7) การร้องทุกข์
(8) การเลิกจ้าง ค่าชดเชย และค่าชดเชยพิเศษ
นายจ้างต้องประกาศใช้ข้อบังคับภายใน 15 วันนับแต่วันที่มีลูกจ้างครบ 10 คนขึ้นไป และเก็บสำเนาไว้ ณ สถานประกอบกิจการหรือสำนักงานตลอดเวลา
ให้นายจ้างเผยแพร่และปิดประกาศข้อบังคับไว้ในที่ทำงาน หรือเพิ่มเติมโดยวิธีการทางอิเล็กทรอนิกส์ก็ได้ เพื่อให้ลูกจ้างทราบและเข้าถึงได้สะดวก"
มาตรา 116 พักงาน,"เมื่อนายจ้างสอบสวนลูกจ้างที่ถูกกล่าวหาว่ากระทำผิด ห้ามสั่งพักงานระหว่างสอบสวน เว้นแต่ข้อบังคับการทำงานหรือข้อตกลงสภาพการจ้างให้อำนาจไว้ โดยนายจ้างต้องมีคำสั่งพักงานเป็นหนังสือ ระบุความผิด และกำหนดระยะเวลาพักงานไม่เกิน 7 วัน พร้อมแจ้งให้ลูกจ้างทราบก่อนพักงาน
ระหว่างการพักงาน นายจ้างต้องจ่ายเงินให้ลูกจ้างตามอัตราที่กำหนดในข้อบังคับการทำงานหรือข้อตกลงสภาพการจ้าง โดยต้องไม่น้อยกว่าร้อยละ 50 ของค่าจ้างในวันทำงานที่ลูกจ้างได้รับก่อนถูกพักงาน"
มาตรา 117,เมื่อสอบสวนแล้วลูกจ้างไม่มีความผิด นายจ้างต้องจ่ายค่าจ้างให้เท่ากับค่าจ้างในวันทำงาน นับตั้งแต่วันที่ลูกจ้างถูกสั่งพักงานเป็นต้นไป โดยหักรวมเงินที่จ่ายตามมาตรา 116 และต้องจ่ายดอกเบี้ยร้อยละ 15 ต่อปีด้วย
มาตรา 118 ค่าชดเชยเลิกจ้าง,"เมื่อนายจ้างเลิกจ้าง ต้องจ่ายค่าชดเชยให้ลูกจ้าง ดังนี้
(1) ทำงาน 120 วัน ไม่ถึง 1 ปี จ่ายไม่น้อยกว่าค่าจ้างอัตราสุดท้าย 30 วัน หรือ 30 วันสุดท้ายสำหรับลูกจ้างที่รับค่าจ้างตามผลงาน
(2) ทำงาน 1 ปี ไม่ถึง 3 ปี ไม่น้อยกว่าค่าจ้างอัตราสุดท้าย 90 วัน
(3) ทำงาน 3 ปี ไม่ถึง 6 ปี จ่ายไม่น้อยกว่าค่าจ้างอัตราสุดท้าย 180 วัน
(4) ทำงาน 6 ปี ไม่ถึง 10 ปี จ่ายไม่น้อยกว่าค่าจ้างอัตราสุดท้าย 240 วัน
(5) ทำงาน 10 ปี ไม่ถึง 20 ปี จ่ายไม่น้อยกว่าค่าจ้างอัตราสุดท้าย 300 วัน
(6) ทำงาน 20 ปีขึ้นไป จ่ายไม่น้อยกว่าค่าจ้างอัตราสุดท้าย 400 วัน
การเลิกจ้าง คือ การที่นายจ้างไม่ให้ลูกจ้างทำงานต่อและไม่จ่ายค่าจ้างไม่ว่าจะสิ้นสุดสัญญาหรือเหตุใด หรือนายจ้างไม่สามารถดำเนินกิจการต่อไป
บทวรรคหนึ่งไม่ใช้กับลูกจ้างที่มีสัญญากำหนดเวลาแน่นอนและสิ้นสุดตามกำหนดนั้น
การจ้างที่มีกำหนดเวลาแน่นอนตามวรรคสามทำได้ในโครงการเฉพาะที่ไม่ใช่งานประจำของนายจ้าง ซึ่งมีระยะเวลาเริ่มและสิ้นสุดชัดเจน หรืองานที่เป็นครั้งคราวซึ่งกำหนดเสร็จสิ้นแน่นอน หรือเป็นงานตามฤดูกาลที่จ้างเฉพาะช่วงฤดูกาลนั้น และงานต้องแล้วเสร็จไม่เกิน 2 ปี โดยต้องทำสัญญาเป็นหนังสือตั้งแต่เริ่มจ้าง"
มาตรา 118/1 ค่าชดเชยเกษียณ,"การเกษียณตามที่ตกลง หรือตามนายจ้างกำหนด ถือเป็นการเลิกจ้างตามมาตรา 118 วรรคสอง
หากไม่มีการตกลงไว้ หรือเกิน 60 ปี ลูกจ้างมีอายุครบ 60 ปีขึ้นไปมีสิทธิแสดงเจตนาเกษียณอายุ โดยแจ้งต่อนายจ้างและให้มีผลเมื่อครบ 30 วันนับแต่วันแจ้ง นายจ้างต้องจ่ายค่าชดเชยให้ลูกจ้างตามมาตรา 118 วรรคหนึ่ง"
มาตรา 119 เลิกจ้างไม่ต้องจ่ายชดเชย,"นายจ้างไม่ต้องจ่ายค่าชดเชยเมื่อลูกจ้างถูกเลิกจ้างในกรณีดังต่อไปนี้
(1) ทุจริตต่อหน้าที่หรือกระทำความผิดอาญาโดยเจตนาต่อนายจ้าง
(2) จงใจทำให้นายจ้างเสียหาย
(3) ประมาทเลินเล่อจนทำให้นายจ้างเสียหายร้ายแรง
(4) ฝ่าฝืนข้อบังคับ ระเบียบ คำสั่งที่ชอบและเป็นธรรม และนายจ้างได้ตักเตือนเป็นหนังสือ เว้นแต่กรณีร้ายแรงไม่ต้องตักเตือน หนังสือเตือนมีผลไม่เกิน 1 ปีนับแต่วันที่กระทำผิด
(5) ละทิ้งงานติดต่อกัน 3 วันทำงาน โดยไม่มีเหตุสมควร
(6) ได้รับโทษจำคุกตามคำพิพากษาถึงที่สุด หากความผิดประมาทหรือเป็นลหุโทษ ต้องเป็นเหตุที่ทำให้นายจ้างเสียหายด้วย
หากนายจ้างไม่ระบุข้อเท็จจริงที่เป็นเหตุเลิกจ้างไว้ในหนังสือบอกเลิกสัญญา หรือไม่แจ้งเหตุเลิกจ้างให้ทราบขณะเลิกจ้าง จะยกเหตุนั้นขึ้นอ้างภายหลังไม่ได้"
มาตรา 120 ค่าชดเชยพิเศษแทนการบอกกล่าว,"เมื่อนายจ้างประสงค์จะย้ายสถานประกอบกิจการไปยังสถานที่ใหม่หรือสถานที่อื่น ต้องปิดประกาศแจ้งให้ลูกจ้างทราบล่วงหน้าในที่เปิดเผยไม่น้อยกว่า 30 วันก่อนการย้าย โดยประกาศต้องระบุชัดเจนว่าลูกจ้างใดต้องย้ายไปที่ใดและเมื่อใด
หากนายจ้างไม่ปิดประกาศตามวรรคหนึ่ง ต้องจ่ายค่าชดเชยพิเศษแทนการบอกกล่าวล่วงหน้าให้แก่ลูกจ้างที่ไม่ประสงค์ไปทำงาน ณ สถานที่ใหม่ ไม่น้อยกว่าค่าจ้างอัตราสุดท้าย 30 วัน หรือไม่น้อยกว่าค่าจ้างการทำงาน 30 วันสุดท้ายสำหรับลูกจ้างที่ได้รับค่าจ้างตามผลงาน
ลูกจ้างที่เห็นว่าการย้ายมีผลกระทบสำคัญต่อการดำรงชีวิตของตนหรือครอบครัว และไม่ประสงค์จะไปทำงาน ณ สถานที่ใหม่ ต้องแจ้งเป็นหนังสือให้นายจ้างทราบภายใน 30 วันนับแต่วันปิดประกาศ หรือวันย้ายจริงในกรณีที่ไม่มีการประกาศ และถือว่าสัญญาจ้างสิ้นสุดลงในวันที่ย้าย โดยลูกจ้างมีสิทธิค่าชดเชยพิเศษไม่น้อยกว่าที่กำหนดในมาตรา 118
นายจ้างต้องจ่ายค่าชดเชยพิเศษแทนการบอกกล่าวล่วงหน้าตามวรรคสอง หรือค่าชดเชยพิเศษตามวรรคสาม ภายใน 7 วันนับแต่สัญญาจ้างสิ้นสุด
หากนายจ้างไม่เห็นด้วยกับเหตุผลของลูกจ้างตามวรรคสาม สามารถยื่นคำร้องต่อคณะกรรมการสวัสดิการแรงงานภายใน 30 วันนับแต่วันที่ได้รับแจ้งเป็นหนังสือ"
มาตรา 13,"การเรียกร้องให้กำหนดหรือแก้ไขเพิ่มเติมข้อตกลงเกี่ยวกับสภาพการจ้าง นายจ้างหรือลูกจ้างต้องแจ้งข้อเรียกร้องเป็นหนังสือให้อีกฝ่ายทราบ
หากนายจ้างเป็นผู้แจ้ง ต้องระบุชื่อผู้เข้าร่วมเจรจา ซึ่งอาจเป็นตนเองหรือผู้แทน โดยผู้แทนต้องเป็นกรรมการ ผู้ถือหุ้น หุ้นส่วน ลูกจ้างประจำ กรรมการสมาคมนายจ้าง หรือกรรมการสหพันธ์นายจ้าง และมีจำนวนไม่เกิน 7 คน
หากลูกจ้างเป็นผู้แจ้ง ข้อเรียกร้องต้องมีรายชื่อและลายมือชื่อของลูกจ้างที่เกี่ยวข้องไม่น้อยกว่าร้อยละ 15 ของลูกจ้างทั้งหมด หากมีการเลือกตั้งผู้แทนแล้ว ต้องระบุชื่อผู้แทนไม่เกิน 7 คนพร้อมข้อเรียกร้อง หากยังไม่ได้เลือกตั้ง ให้เลือกตั้งผู้แทนโดยมิชักช้า และระบุชื่อผู้แทนไม่เกิน 7 คน
การเลือกตั้ง ระยะเวลาการเป็นผู้แทนลูกจ้าง การดำเนินการเกี่ยวกับข้อเรียกร้อง และการรับทราบคำชี้ขาด ให้เป็นไปตามหลักเกณฑ์และวิธีการที่กำหนดในกฎกระทรวง"
มาตรา 19,"ข้อตกลงเกี่ยวกับสภาพการจ้างมีผลผูกพันต่อนายจ้างและลูกจ้างที่ลงลายมือชื่อในข้อเรียกร้อง รวมถึงลูกจ้างที่มีส่วนในการเลือกตั้งผู้แทนเข้าร่วมเจรจาทุกคน
ข้อตกลงเกี่ยวกับสภาพการจ้างที่ทำโดยนายจ้างหรือสมาคมนายจ้างกับสหภาพแรงงาน หรือลูกจ้างที่ทำงานในกิจการประเภทเดียวกัน ซึ่งมีลูกจ้างร่วมเรียกร้องเกินกว่าสองในสามของลูกจ้างทั้งหมด ให้ถือว่าข้อตกลงดังกล่าวมีผลผูกพันต่อนายจ้างและลูกจ้างในกิจการประเภทเดียวกันทุกคน"
มาตรา 20,เมื่อข้อตกลงเกี่ยวกับสภาพการจ้างมีผลใช้บังคับ ห้ามนายจ้างทำสัญญาจ้างที่ขัดหรือแย้งกับข้อตกลง เว้นแต่สัญญานั้นเป็นประโยชน์แก่ลูกจ้างมากกว่า
มาตรา 21,หากไม่มีการเจรจาภายในกำหนดตามมาตรา 16 หรือเจรจาแล้วแต่ตกลงกันไม่ได้ ให้ถือว่าเกิดข้อพิพาทแรงงาน และฝ่ายแจ้งข้อเรียกร้องต้องแจ้งเป็นหนังสือให้พนักงานประนอมข้อพิพาทแรงงานทราบภายใน 24 ชั่วโมง นับแต่เวลาที่พ้นกำหนดตามมาตรา 16 หรือเวลาที่ตกลงกันไม่ได้ แล้วแต่กรณี
มาตรา 22,"เมื่อพนักงานประนอมข้อพิพาทแรงงานได้รับแจ้งตามมาตรา 21 แล้ว ต้องดำเนินการไกล่เกลี่ยให้ฝ่ายแจ้งข้อเรียกร้องและฝ่ายรับข้อเรียกร้องตกลงกันภายใน 5 วันนับแต่วันที่ได้รับหนังสือแจ้ง
ถ้าตกลงกันได้ภายในกำหนด ให้นำมาตรา 18 มาใช้โดยอนุโลม
หากไม่อาจตกลงกันได้ภายในกำหนด ให้ถือว่าเป็นข้อพิพาทแรงงานที่ตกลงกันไม่ได้ และนายจ้างกับลูกจ้างอาจตกลงตั้งผู้ชี้ขาดตามมาตรา 26 หรือนายจ้างจะปิดงานหรือลูกจ้างจะนัดหยุดงานได้ โดยไม่ขัดต่อมาตรา 34 แต่ต้องอยู่ภายใต้บังคับมาตรา 23 มาตรา 24 มาตรา 25 หรือมาตรา 36"
มาตรา 31,"เมื่อมีการแจ้งข้อเรียกร้องตามมาตรา 13 แล้ว หากข้อเรียกร้องยังอยู่ระหว่างการเจรจา ไกล่เกลี่ย หรือชี้ขาดข้อพิพาทแรงงานตามมาตรา 13 ถึงมาตรา 29 ห้ามนายจ้างเลิกจ้างหรือโยกย้ายหน้าที่ของลูกจ้าง ผู้แทนลูกจ้าง กรรมการ อนุกรรมการ หรือสมาชิกสหภาพแรงงาน รวมถึงกรรมการหรืออนุกรรมการสหพันธ์แรงงานที่เกี่ยวข้อง เว้นแต่บุคคลดังกล่าว
(1) ทุจริตต่อหน้าที่หรือกระทำความผิดอาญาโดยเจตนาต่อนายจ้าง
(2) จงใจทำให้นายจ้างเสียหาย
(3) ฝ่าฝืนข้อบังคับ ระเบียบ หรือคำสั่งอันชอบด้วยกฎหมายของนายจ้าง โดยนายจ้างได้ว่ากล่าวตักเตือนเป็นหนังสือ เว้นแต่กรณีร้ายแรงไม่จำต้องตักเตือน ทั้งนี้ ข้อบังคับ ระเบียบ หรือคำสั่งต้องไม่ออกเพื่อขัดขวางการดำเนินการเกี่ยวกับข้อเรียกร้อง
(4) ละทิ้งงานติดต่อกัน 3 วันทำงาน โดยไม่มีเหตุอันสมควร
ห้ามลูกจ้าง ผู้แทนลูกจ้าง กรรมการ อนุกรรมการ สมาชิกสหภาพแรงงาน หรือกรรมการและอนุกรรมการสหพันธ์แรงงานที่เกี่ยวข้อง สนับสนุนหรือก่อเหตุการนัดหยุดงาน"
มาตรา 121 ห้ามนายจ้าง,"(1) เลิกจ้างหรือกระทำการใดที่ทำให้ลูกจ้าง ผู้แทนลูกจ้าง กรรมการสหภาพแรงงาน หรือกรรมการสหพันธ์แรงงาน ไม่สามารถทนทำงานต่อไปได้ เพราะเหตุการชุมนุม ยื่นข้อเรียกร้อง เจรจา ฟ้องร้อง เป็นพยาน หรือให้หลักฐานต่อเจ้าหน้าที่ตามกฎหมายแรงงาน นายทะเบียน พนักงานประนอม ผู้ชี้ขาดข้อพิพาทแรงงาน กรรมการแรงงานสัมพันธ์ หรือศาลแรงงาน รวมทั้งการที่ลูกจ้างหรือสหภาพแรงงานกำลังจะกระทำการดังกล่าว
(2) เลิกจ้างหรือกระทำการใดที่ทำให้ลูกจ้างไม่สามารถทนทำงานต่อไปได้ เพราะเป็นสมาชิกสหภาพแรงงาน
(3) ขัดขวางการเป็นสมาชิก หรือบังคับให้ออกจากสมาชิกสหภาพแรงงาน รวมทั้งให้หรือตกลงจะให้เงินหรือทรัพย์สินแก่ลูกจ้างหรือเจ้าหน้าที่สหภาพแรงงาน เพื่อมิให้สมัครหรือให้ออกจากสมาชิก
(4) ขัดขวางการดำเนินงานของสหภาพแรงงานหรือสหพันธ์แรงงานหรือขัดขวางสิทธิของลูกจ้างในการเป็นสมาชิก
(5) เข้าแทรกแซงการดำเนินงานของสหภาพแรงงานหรือสหพันธ์แรงงานโดยไม่ชอบด้วยกฎหมาย"
มาตรา 122 ห้ามผู้ใด,"(1) บังคับหรือขู่เข็ญไม่ว่าทางตรงหรือทางอ้อมให้ลูกจ้างต้องเป็นหรือออกจากการเป็นสมาชิกสหภาพแรงงาน
(2) กระทำการใดที่อาจเป็นเหตุให้นายจ้างฝ่าฝืนมาตรา 121"
มาตรา 123,"ในระหว่างที่ข้อตกลงเกี่ยวกับสภาพการจ้างหรือคำชี้ขาดยังมีผลใช้บังคับ ห้ามนายจ้างเลิกจ้างลูกจ้าง ผู้แทนลูกจ้าง กรรมการ อนุกรรมการ หรือสมาชิกสหภาพแรงงาน รวมถึงกรรมการหรืออนุกรรมการสหพันธ์แรงงานที่เกี่ยวข้อง เว้นแต่บุคคลดังกล่าว
(1) ทุจริตต่อหน้าที่หรือกระทำความผิดอาญาโดยเจตนาต่อนายจ้าง
(2) จงใจทำให้นายจ้างเสียหาย
(3) ฝ่าฝืนข้อบังคับ ระเบียบ หรือคำสั่งอันชอบด้วยกฎหมายของนายจ้าง โดยได้รับการว่ากล่าวตักเตือนเป็นหนังสือแล้ว เว้นแต่กรณีร้ายแรงไม่จำเป็นต้องตักเตือน ทั้งนี้ ข้อบังคับ ระเบียบ หรือคำสั่งต้องไม่ออกเพื่อขัดขวางการดำเนินการเกี่ยวกับข้อเรียกร้อง
(4) ละทิ้งงานติดต่อกัน 3 วันทำงานโดยไม่มีเหตุผลสมควร
(5) ยุยง สนับสนุน หรือชักชวนให้ฝ่าฝืนข้อตกลงเกี่ยวกับสภาพการจ้างหรือคำชี้ขาด"
มาตรา 13,"เมื่อลูกจ้างประสบอันตรายหรือเจ็บป่วย นายจ้างต้องจัดให้ได้รับการรักษาพยาบาลทันทีตามความเหมาะสม และจ่ายค่ารักษาพยาบาลเท่าที่จ่ายจริงตามความจำเป็น ตามหลักเกณฑ์
นายจ้างต้องจ่ายค่ารักษาพยาบาลตามวรรคหนึ่งโดยไม่ชักช้าเมื่อได้รับแจ้งจากลูกจ้าง"
