เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 152 เจ้าพนักงานเข้ามีส่วนได้เสียในงาน,ผู้ใดเป็นเจ้าพนักงาน มีหน้าที่จัดการหรือดูแลกิจการใด เข้ามีส่วนได้เสีย เพื่อประโยชน์สำหรับตนเองหรือผู้อื่น
มาตรา 153 เจ้าพนักงานใช้จ่ายเกินควร,ผู้ใดเป็นเจ้าพนักงาน มีหน้าที่จ่ายทรัพย์ จ่ายทรัพย์เกินควร เพื่อประโยชน์สำหรับตนเองหรือผู้อื่น
มาตรา 157 เจ้าพนักงานปฏิบัติหรือละเว้นโดยมิชอบ,ผู้ใดเป็นเจ้าพนักงาน ปฏิบัติหรือละเว้นการปฏิบัติหน้าที่โดยมิชอบ เพื่อให้เกิดความเสียหายแก่ผู้หนึ่งผู้ใด หรือปฏิบัติหรือละเว้นการปฏิบัติหน้าที่โดยทุจริต
มาตรา 158 เจ้าพนักงานทำต่อทรัพย์ที่มีหน้าที่ปกครอง,ผู้ใดเป็นเจ้าพนักงาน ทำให้เสียหาย/ทำลาย/ซ่อนเร้น/เอา/ทำให้สูญ/ทำให้ไร้ ซึ่งทรัพย์หรือเอกสาร อันเป็นหน้าที่ของตนที่จะรักษา หรือยินยอมให้ผู้อื่นกระทำ
มาตรา 161 เจ้าพนักงานปลอมเอกสาร,ผู้ใดเป็นเจ้าพนักงาน ที่มีหน้าที่ กรอกข้อความลงในเอกสาร ปลอมเอกสารโดยที่ตนมีหน้าที่
มาตรา 162,"ผู้ใดเป็นเจ้าพนักงาน มีหน้าที่ทำ รับกรอกข้อความลงเอกสาร ทำต่อไปนี้
(1) รับรองว่า ตนได้กระทำการ/การใดได้กระทำต่อหน้าตนอันเท็จ
(2) รับรองว่า มีการแจ้งซึ่งข้อความอันมิได้มีการแจ้ง
(3) ไม่งดข้อความซึ่งตนมีหน้าที่
(4) รับรองซึ่งข้อเท็จจริงเอกสาร มุ่งพิสูจน์ความจริงอันเป็นเท็จ"
มาตรา 167 ให้สินบน จพง.ในการยุติธรรม,ผู้ใดให้ ขอให้ รับว่าจะให้ทรัพย์สินหรือประโยชน์ แก่เจ้าพนักงานในตำแหน่งตุลาการ/อก/พงส เพื่อจูงใจให้กระทำการ ไม่กระทำการหรือประวิงการกระทำใดอันมิชอบด้วยหน้าที่
มาตรา 172 แจ้งความเท็จความผิดอาญา,ผู้ใดแจ้งความเท็จความผิดอาญาแก่พนักงานอัยการ/พงส./เจ้าพนักงานผู้มีอำนาจสืบสวน ซึ่งอาจทำให้ผู้อื่นหรือประชาชนเสียหาย
มาตรา 173 แจ้งความเท็จว่ามีการทำผิดอาญา,ผู้ใดรู้ว่ามิมีการทำผิดเกิดขึ้น แจ้งข้อความแก่พงส./ผู้มีอำนาจสืบสวน ว่าได้มีทำความผิด
มาตรา 174,"ถ้าการแจ้งตามม. 172 , 173 เพื่อจะแกล้งให้บุคคลต้องถูกบังคับตามวิธีการเพื่อความปลอดภัย
ว.2ตามว.1 เพื่อแกล้งให้บุคคลใดต้องรับโทษหรือรับโทษหนักขึ้น"
มาตรา 175 ฟ้องเท็จอาญา,ผู้ใดเอาความเท็จฟ้องผู้อื่นต่อศาลว่าทำผิดอาญา หรือทำความผิดแรงกว่าที่เป็นความจริง
มาตรา 176 ลุแก่โทษฟ้องเท็จ,ผู้ใดทำผิดม.175 แล้วลุแก่โทษต่อศาล และขอถอนฟ้องหรือแก้ฟ้องก่อนมีคำพิพากษา ให้ศาลลงโทษน้อยกว่าที่กฎหมายกำหนดไว้หรือศาลจะไม่ลงโทษเลยก็ได้
มาตรา 179 ทำพยานหลักฐานเท็จ,ผู้ใดทำพยานหลักฐานเท็จ เพื่อให้ พงส./ผู้มีอำนาจสืบสวน เชื่อว่าได้มีความผิดอาญาอย่างใดเกิดขึ้น หรือเชื่อว่าความผิดอาญาที่เกิดขึ้นร้ายแรงกว่าที่เป็นความจริง
มาตรา 180,ผู้ใดนำสืบหรือแสดงพยานหลักฐานเท็จในการพิจารณาคดี ถ้าเป็นพยานหลักฐานในข้อสำคัญในคดีนั้น
มาตรา 184,ผู้ใดช่วยผู้อื่นมิให้ต้องรับโทษ/รับโทษน้อยลง/ทำให้เสียหาย/ทำลาย/ซ่อนเร้น/เอาไปเสีย/ทำให้สูญหาย/ไร้ประโยชน์ ซึ่งพยานหลักฐานในการกระทำความผิด
มาตรา 188 ทำลายพินัยกรรม,ผู้ใดทำให้เสียหาย ทำลาย ซ่อนเร้น เอาไปเสีย หรือทำให้สูญหายหรือไร้ประโยชน์ ซึ่งพินัยกรรมหรือเอกสารใดของผู้อื่น ในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่นหรือประชาชน
มาตรา 189 ช่วยให้ไม่ต้องรับโทษ,ผู้ใดช่วยผู้กระทำผิด หรือผู้ต้องหา อันมิใช่ความผิดลหุโทษ เพื่อไม่ให้ต้องโทษ โดยให้พำนัก โดยซ่อนเร้นหรือโดยช่วยด้วยประการใดเพื่อไม่ให้ถูกจับกุม
มาตรา 190 หลบหนี,"ผู้ใดหลบหนีระหว่างคุมขังของ ศาล/พอ./พงส หรือเจ้าพนักงานผู้มีอำนาจสืบสวนคดีอาญา
ว.2.ทำโดยใช้กำลัง ขู่เข็ญ ร่วมกัน3คน ว.3.ใช้อาวุธปืน ระเบิด"
มาตรา 191 ทำให้ผู้ต้องขังหลุด,ผู้ใดกระทำให้ผู้ที่ถูกคุมขังตาม ศาล/พอ./พงส หรือจพง.ผู้มีอำนาจสืบสวนคดีอาญา หลุดพ้นจากการคุมขังไป
มาตรา 192 ช่วยไม่ให้ถูกจับกุม,ผู้ใดให้พำนัก ซ่อนเร้น หรือช่วยด้วยประการใด ให้ผู้ที่หลบหนีจากการคุมขัง ตามอำนาจของศาลของศาล/พอ./พงส หรือจพง.ผู้มีอำนาจสืบสวนคดีอาญา เพื่อไม่ให้ถูกจับกุม
มาตรา 193 ช่วยคนในครอบครัว,การในมาตรา 184 189 192 เป็นการช่วยบิดา มารดา บุตร สามี หรือภริยาของผู้กระทำ ศาลจะไม่ลงโทษก็ได้
มาตรา 198 ดูหมิ่น/ขัดขวางศาล,ผู้ใดดูหมิ่นศาล หรือผู้พิพากษาในการพิจารณาหรือพิพากษาคดี หรือกระทำการขัดขวางการพิจารณาหรือพิพากษาของศาล
มาตรา 199 ซ่อน/ทำลายศพ,ผู้ใดลอบฝัง ซ่อนเร้น ย้ายหรือทำลายศพหรือส่วนของศพ เพื่อปิดบังการเกิด การตายหรือเหตุแห่งการตาย
มาตรา 200 เจ้าพนักงานยุติธรรมทำการมิชอบ,"ผู้ใดเป็นเจ้าพนักงาน พอ./ผู้ว่าคดี/พงส.หรือจพง.ผู้มีอำนาจสืบสวน กระทำการหรือไม่กระทำการ ในตำแหน่งโดยมิชอบ เพื่อจะช่วยบุคคลมิให้ต้องโทษ/รับโทษ
ว.2. เป็นการแกล้งให้ต้องรับโทษ/หนักขึ้น/ถูกบังคับวิธีการเพื่อความปลอดภัย"
มาตรา 201 เจ้าพนักงานยุติธรรมเรียก รับสินบน,ผู้ใดเป็นเจ้าพนักงานในตำแหน่งตุลาการ พอ./ผู้ว่าคดี/พงส. เรียก รับ หรือยอมจะรับทรัพย์สินหรือประโยชน์ สำหรับตนเองหรือผู้อื่น โดยมิชอบ เพื่อกระทำการหรือไม่กระทำการในตำแหน่ง ไม่ว่าการนั้นจะชอบหรือมิชอบด้วยหน้าที่
มาตรา 204 เจ้าพนักงานควบคุมทำให้ผู้ต้องขังหลุด,ผู้ใดเป็นเจ้าพนักงาน มีตำแหน่งหน้าที่ควบคุมดูแลผู้ต้องขังตามอำนาจของศาล ของพอ./พงส.หรือจพง.ผู้มีอำนาจสืบสวน กระทำให้ผู้อยู่ในระหว่างคุมขังหลุดพ้นจากการคุมขังไป
มาตรา 205 ทำให้หลุดโดยประมาท,ถ้าการกระทำดังกล่าวในมาตรา 204 เป็นการกระทำโดยประมาท
