เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 901,ผู้ที่ลงลายมือชื่อในตั๋วเงินโดยไม่ระบุว่าแทนบุคคลอื่น ต้องรับผิดตามตั๋วเงินนั้นเอง
มาตรา 904 ผู้ทรง,“ผู้ทรง” หมายถึง ผู้ที่มีตั๋วเงินอยู่ในครอบครอง ไม่ว่าจะเป็นผู้รับเงิน ผู้รับสลักหลัง หรือผู้ถือในกรณีที่ตั๋วเงินสั่งจ่ายให้แก่ผู้ถือ
มาตรา 905,"ผู้ครอบครองตั๋วเงินที่มีการสลักหลังต่อเนื่องไม่ขาดสาย ถือเป็นผู้ทรงโดยชอบ แม้สลักหลังรายสุดท้ายจะเป็นสลักหลังลอย และหากมีการสลักหลังต่อจากสลักหลังลอย ให้ถือว่าผู้ลงชื่อในสลักหลังรายสุดท้ายเป็นผู้ได้ตัวเงินด้วยการสลักหลังลอย ส่วนคำสลักหลังที่ถูกขีดฆ่า ถือว่าไม่มีผล
หากตั๋วเงินหลุดจากครอบครองไป ผู้ทรงที่พิสูจน์สิทธิตามวิธีดังกล่าวไม่จำเป็นต้องสละตั๋ว เว้นแต่ได้มาโดยทุจริตหรือประมาทเลินเล่อร้ายแรง
ข้อนี้ใช้บังคับถึงผู้ทรงตั๋วเงินสั่งจ่ายแก่ผู้ถือด้วย"
มาตรา 910,"ตราสารที่ขาดรายการตามที่กฎหมายกำหนดไม่สมบูรณ์เป็นตั๋วแลกเงิน เว้นแต่ในกรณีดังนี้
ถ้าไม่ระบุเวลาใช้เงิน ให้ถือว่าชำระเมื่อเห็นตั๋ว
ถ้าไม่ระบุสถานที่ใช้เงิน ให้ถือเอาภูมิลำเนาของผู้จ่ายเป็นสถานที่ชำระ
ถ้าไม่แสดงสถานที่ออกตั๋ว ให้ถือว่าออก ณ ภูมิลำเนาของผู้สั่งจ่าย"
มาตรา 914,ผู้สั่งจ่ายหรือผู้สลักหลังตั๋วแลกเงินย่อมสัญญาว่า เมื่อตั๋วถูกยื่นโดยชอบ จะมีผู้รับรองและชำระเงินตามตั๋ว หากไม่มีการรับรองหรือไม่จ่ายเงิน ผู้สั่งจ่ายหรือผู้สลักหลังต้องรับผิดชำระแก่ผู้ทรงหรือผู้สลักหลังคนหลัง เมื่อได้ทำตามวิธีการไม่รับรองหรือไม่จ่ายเงินแล้ว
มาตรา 915,"ผู้สั่งจ่ายและผู้สลักหลังอาจกำหนดในตั๋วได้ว่า
(1) ลบล้างหรือจำกัดความรับผิดของตนต่อผู้ทรง
(2) ยอมลดละหน้าที่บางอย่างหรือทั้งหมดที่ผู้ทรงพึงมีต่อตน"
มาตรา 916,ผู้ถูกฟ้องในมูลตั๋วแลกเงินไม่อาจต่อสู้ผู้ทรงด้วยข้อที่เกี่ยวเฉพาะระหว่างตนกับผู้สั่งจ่ายหรือผู้ทรงก่อน เว้นแต่มีการโอนด้วยการคบคิดฉ้อฉล
มาตรา 917,ตั๋วแลกเงินทุกฉบับแม้ไม่สั่งจ่ายเพื่อเขาสั่ง ก็โอนได้ด้วยการสลักหลังและส่งมอบ หากมีคำว่า “เปลี่ยนมือไม่ได้” หรือข้อความทำนองเดียวกัน ตั๋วรยังโอนได้แต่ด้วยผลเช่นการโอนสามัญ และตั๋วสามารถสลักหลังให้แก่ผู้จ่าย ผู้สั่งจ่าย หรือคู่สัญญาอื่น ๆ ได้ ซึ่งบุคคลเหล่านี้ยังสลักหลังต่อไปได้อีก
มาตรา 918,ตั๋วแลกเงินที่สั่งจ่ายแก่ผู้ถือ โอนได้ด้วยการส่งมอบเพียงอย่างเดียว
มาตรา 919,คำสลักหลังต้องเขียนในตั๋วหรือใบประจำต่อและลงลายมือชื่อผู้สลักหลัง แม้ไม่ระบุชื่อผู้รับประโยชน์หรือเพียงลงลายมือชื่อก็สมบูรณ์ ถือเป็น “สลักหลังลอย”
มาตรา 920,"การสลักหลังโอนสิทธิทั้งหมดจากตั๋วแลกเงิน หากเป็นสลักหลังลอยผู้ทรงอาจ
(1) กรอกชื่อผู้รับประโยชน์
(2) สลักหลังต่อไปเป็นลอยหรือเจาะจงบุคคล
(3) โอนโดยส่งมอบโดยไม่กรอกชื่อและไม่สลักหลังเพิ่มเติม"
มาตรา 921,การสลักหลังตั๋วแลกเงินที่สั่งจ่ายแก่ผู้ถือ ถือเป็นการประกัน (อาวัล) ให้แก่ผู้สั่งจ่าย
มาตรา 923,ถ้าผู้สลักหลังระบุข้อความห้ามสลักหลังต่อไป ผู้สลักหลังนั้นไม่ต้องรับผิดต่อบุคคลที่ได้รับตั๋วแลกเงินในภายหลังจากทำการสลักหลังนั้น
มาตรา 938 อาวัล,ตั๋วแลกเงินอาจมีผู้ค้ำประกันเพื่อรับประกันการใช้เงินทั้งหมดหรือบางส่วน ซึ่งเรียกว่า “อาวัล” และผู้รับอาวัลอาจเป็นบุคคลภายนอกหรือคู่สัญญาในตั๋วเงินก็ได้
มาตรา 939,การรับอาวัลทำโดยเขียนลงในตั๋วเงินหรือใบประจำต่อ ใช้ถ้อยคำว่า “ใช้ได้เป็นอาวัล” หรือถ้อยคำทำนองเดียวกัน พร้อมลงลายมือชื่อผู้รับอาวัล เพียงลงชื่อที่ด้านหน้าตั๋วเงินก็ถือว่าเป็นการรับอาวัล เว้นแต่เป็นลายมือชื่อของผู้จ่ายหรือผู้สั่งจ่าย ต้องระบุว่ารับประกันผู้ใด หากไม่ระบุให้ถือว่ารับประกันผู้สั่งจ่าย
มาตรา 940,ผู้รับอาวัลต้องรับผิดเสมือนบุคคลที่ตนประกัน แม้ความรับผิดของผู้ถูกประกันจะตกเป็นโมฆะเพราะเหตุอื่น เว้นแต่เพราะผิดแบบระเบียบ สัญญารับอาวัลก็ยังคงสมบูรณ์ หากผู้รับอาวัลใช้เงินตามตั๋วแล้ว ย่อมมีสิทธิไล่เบี้ยจากผู้ที่ตนประกันไว้และบุคคลที่รับผิดแทนผู้นั้น
มาตรา 967 สิทธิไล่เบี้ยเพราะเขาไม่รับรองหรือไม่ใช้เงิน,"ในตั๋วแลกเงิน ผู้สั่งจ่าย ผู้รับรอง ผู้สลักหลัง หรือผู้รับประกันด้วยอาวัล ต้องร่วมกันรับผิดต่อผู้ทรง
ผู้ทรงมีสิทธิเรียกร้องเอาความจากบุคคลเหล่านี้ได้ทั้งเรียงตัวหรือรวมกัน โดยไม่จำเป็นต้องดำเนินตามลำดับการผูกพัน
สิทธินี้ยังใช้ได้กับบุคคลทุกคนที่ลงลายมือชื่อและถือเอาตั๋วเงิน เพื่อบังคับเอากับผู้ที่ผูกพันก่อนตน
การเรียกร้องเอาความจากคู่สัญญาคนหนึ่งไม่ตัดสิทธิที่จะเรียกร้องจากคู่สัญญาคนอื่น แม้จะอยู่ในลำดับภายหลังก็ตาม"
มาตรา 985 มาตราให้ใช้กับตั๋วแลกเงิน,"บทบัญญัติในหมวด 2 ว่าด้วยตั๋วแลกเงิน ให้ใช้บังคับกับตั๋วสัญญาใช้เงินเท่าที่ไม่ขัดกับลักษณะของตราสารนี้ ได้แก่ มาตรา 911, 913, 916, 917, 919, 920, 922-926, 938-947, 959, 950, 954-959 และ 967-971
ถ้าเป็นตั๋วสัญญาใช้เงินที่ออกในต่างประเทศ ต้องใช้บทบัญญัติมาตรา 960-964, 973 และ 974 ด้วย"
มาตรา 988,"เช็คต้องมีรายการดังต่อไปนี้
(1) คำบอกชื่อว่าเป็นเช็ค
(2) คำสั่งที่ไม่มีเงื่อนไขให้ใช้เงินเป็นจำนวนแน่นอน
(3) ชื่อหรือยี่ห้อและสำนักงานของธนาคาร
(4) ชื่อหรือยี่ห้อของผู้รับเงิน หรือข้อความว่าให้ใช้เงินแก่ผู้ถือ
(5) สถานที่ใช้เงิน
(6) วันและสถานที่ออกเช็ค
(7) ลายมือชื่อผู้สั่งจ่าย"
มาตรา 989,"บทบัญญัติในหมวด 2 ว่าด้วยตั๋วแลกเงิน ให้ใช้บังคับกับเช็คเพียงเท่าที่ไม่ขัดกับสภาพของเช็ค คือ มาตรา 910, 914 ถึง 923, 925, 926, 938 ถึง 940, 945, 946, 959, 967, 971
ถ้าเช็คออกจากต่างประเทศ ให้ใช้บังคับตามมาตรา 924, 960 ถึง 964, 973 ถึง 977, 980"
มาตรา 990,"ผู้ทรงเช็คต้องยื่นเช็คแก่ธนาคารเพื่อให้เงิน ถ้าเป็นเช็คในเมืองเดียวกันกับที่ออกเช็ค ต้องยื่นภายในหนึ่งเดือน ถ้าเป็นเช็คต่างเมืองต้องยื่นภายในสามเดือน หากไม่ยื่นภายในกำหนด ผู้ทรงสิ้นสิทธิไล่เบี้ยผู้สลักหลังและเสียสิทธิที่มีต่อผู้สั่งจ่ายเพียงเท่าความเสียหายที่เกิดจากการละเลยนั้น
ผู้ทรงเช็คที่ผู้สั่งจ่ายหลุดพ้นจากความรับผิดแล้ว จะได้รับช่วงสิทธิของผู้สั่งจ่ายต่อธนาคาร"
มาตรา 991,"ธนาคารต้องใช้เงินตามเช็คที่มีผู้เคยค้าสั่งจ่าย เว้นแต่กรณีดังนี้
(1) ไม่มีเงินในบัญชีเพียงพอ
(2) เช็คยื่นใช้เกินหกเดือนนับแต่วันออก
(3) มีการบอกกล่าวว่าเช็คหายหรือถูกลักไป"
มาตรา 992,"หน้าที่และอำนาจของธนาคารที่จะใช้เงินตามเช็คสิ้นสุดลงเมื่อ
(1) มีคำห้ามใช้เงิน
(2) รู้ว่าผู้สั่งจ่ายตาย
(3) รู้ว่าศาลสั่งรักษาทรัพย์ชั่วคราว หรือสั่งล้มละลายและได้ประกาศโฆษณาแล้ว"
มาตรา 993,"หากธนาคารลงลายมือชื่อรับรองบนเช็ค เช่น “ใช้ได้” หรือ “ใช้เงินได้” ธนาคารต้องรับผิดในฐานะลูกหนี้ชั้นต้น
ถ้าผู้ทรงเป็นผู้จัดให้ธนาคารรับรอง ผู้สั่งจ่ายและผู้สลักหลังทั้งหมดพ้นความรับผิด แต่ถ้าธนาคารรับรองตามคำขอของผู้สั่งจ่าย ผู้สั่งจ่ายและผู้สลักหลังยังคงต้องรับผิดอยู่"
มาตรา 994,"เช็คที่มีเส้นขนานคู่ด้านหน้า เรียกว่าเช็คขีดคร่อมทั่วไป จะใช้เงินได้เฉพาะกับธนาคาร
ถ้ามีชื่อธนาคารระบุระหว่างเส้น เรียกว่าเช็คขีดคร่อมเฉพาะ จะใช้เงินได้เฉพาะธนาคารนั้น"
มาตรา 995,"(1) เช็คไม่มีขีดคร่อม ผู้สั่งจ่ายหรือผู้ทรงอาจขีดคร่อมเป็นทั่วไปหรือเฉพาะได้
(2) เช็คขีดคร่อมทั่วไป ผู้ทรงอาจเปลี่ยนเป็นเฉพาะได้
(3) เช็คขีดคร่อมทั่วไปหรือเฉพาะ ผู้ทรงอาจเติมคำว่า “ห้ามเปลี่ยนมือ” ได้
(4) เช็คขีดคร่อมเฉพาะให้ธนาคารใด ธนาคารนั้นอาจขีดคร่อมเฉพาะซ้ำให้ธนาคารอื่นเพื่อเรียกเก็บเงินได้
(5) เช็คไม่มีขีดคร่อมหรือขีดคร่อมทั่วไป หากส่งไปยังธนาคารเพื่อเรียกเก็บ ธนาคารนั้นอาจขีดคร่อมเฉพาะให้แก่ตนเองได้"
มาตรา 999,ผู้ที่ได้เช็คขีดคร่อมซึ่งมีคำว่า “ห้ามเปลี่ยนมือ” จะมีสิทธิในเช็คนั้นไม่เกินกว่าสิทธิของผู้ที่ตนได้รับเช็คมาจาก และไม่อาจโอนสิทธิให้ผู้อื่นเกินกว่าที่ตนมี
มาตรา 1001 อายุความ,ห้ามฟ้องผู้รับรองตั๋วแลกเงิน หรือผู้ออกตั๋วสัญญาใช้เงิน เมื่อพ้นกำหนดสามปีนับแต่วันตัวถึงกำหนดใช้เงิน
มาตรา 1002,ห้ามฟ้องผู้สลักหลังและผู้สั่งจ่ายโดยผู้ทรงตั๋วเงิน เมื่อพ้นกำหนดหนึ่งปีนับแต่วันที่ลงคำคัดค้านตามกำหนดเวลา หรือหากตัวมีข้อกำหนดว่า “ไม่จำต้องมีคำคัดค้าน” ให้นับหนึ่งปีจากวันที่ตัวถึงกำหนด
มาตรา 1003,ห้ามฟ้องกันระหว่างผู้สลักหลังเอง หรือฟ้องผู้สั่งจ่ายไล่เบี้ย เมื่อพ้นหกเดือนนับแต่วันที่ผู้สลักหลังถือเอาตั๋วและใช้เงิน หรือจากวันที่ผู้สลักหลังถูกฟ้อง
มาตรา 1007,"ถ้าตั๋วเงินหรือคำรับรองตั๋วเงินถูกแก้ไขเปลี่ยนแปลงในข้อสำคัญโดยที่คู่สัญญาผู้ต้องรับผิดตามตัวไม่ได้ยินยอมทุกคน ตั๋วนั้นเป็นอันเสีย เว้นแต่จะใช้ได้กับผู้ที่ทำหรือยินยอมการแก้ไขนั้น รวมถึงผู้สลักหลังภายหลังการแก้ไข
แต่ถ้าความเปลี่ยนแปลงไม่ประจักษ์ และตั๋วอยู่ในมือผู้ทรงโดยชอบ ผู้ทรงมีสิทธิใช้ตั๋วเสมือนมิได้มีการแก้ไข และบังคับใช้เงินได้ตามเนื้อความเดิม
การแก้ไขที่ถือว่าเป็นข้อสำคัญ ได้แก่ การเปลี่ยนแปลงวันที่ จำนวนเงิน เวลาใช้เงิน สถานที่ใช้เงิน หรือการเพิ่มสถานที่ใช้เงินในตั๋วที่รับรองทั่วไปโดยผู้รับรองไม่ยินยอม"
มาตรา 1008,"ลายมือชื่อในตั๋วเงินที่เป็นปลอม หรือลงโดยไม่มีอำนาจ เป็นอันใช้ไม่ได้ ไม่อาจอ้างสิทธิหรือบังคับแก่คู่สัญญาใดได้ เว้นแต่ผู้ถูกบังคับจะต้องตัดสิทธิไม่ให้ยกข้อลายมือชื่อปลอม หรือข้อลงชื่อปราศจากอำนาจขึ้นต่อสู้
อย่างไรก็ดี การให้สัตยาบันแก่ลายมือชื่อที่ลงโดยปราศจากอำนาจแต่ไม่ถึงกับเป็นปลอม ย่อมยังคงใช้ได้"
มาตรา 1009,หากมีผู้นำตั๋วเงินชนิดใช้ตามสั่งเมื่อทวงถามมาเบิกจากธนาคาร และธนาคารจ่ายเงินไปโดยสุจริตและไม่ประมาท ธนาคารไม่ต้องพิสูจน์ว่าการสลักหลังเป็นการทำโดยผู้มีอำนาจ แม้การสลักหลังจะเป็นปลอมหรือปราศจากอำนาจก็ตาม ถือว่าธนาคารได้จ่ายถูกต้องตามระเบียบ
