เลขมาตราและกฎหมาย,เนื้อหา / สาระสำคัญ
มาตรา 16 พ.ร.บ. ลิขสิทธิ์,การอนุญาตให้ผู้อื่นใช้สิทธิตามมาตรา 15 (5) ไม่ตัดสิทธิของเจ้าของลิขสิทธิ์ที่จะอนุญาตให้บุคคลอื่นใช้สิทธินั้นอีก เว้นแต่หนังสืออนุญาตระบุห้ามไว้
มาตรา 17 พ.ร.บ. ลิขสิทธิ์,"ลิขสิทธิ์โอนให้แก่กันได้ เจ้าของลิขสิทธิ์อาจโอนทั้งหมดหรือบางส่วน มีกำหนดเวลาหรือตลอดอายุคุ้มครองก็ได้
การโอนลิขสิทธิ์ (ไม่นับการโอนทางมรดก) ต้องทำเป็นหนังสือลงลายมือชื่อผู้โอนและผู้รับโอน หากไม่กำหนดเวลา ให้ถือว่ามีกำหนด 10 ปี"
มาตรา 18 พ.ร.บ. ลิขสิทธิ์,"ผู้สร้างสรรค์มีสิทธิแสดงตนว่าเป็นผู้สร้างงาน และห้ามมิให้ผู้รับโอนหรือบุคคลอื่นบิดเบือน ตัดทอน ดัดแปลง หรือกระทำใดที่ทำให้งานเสียหายต่อชื่อเสียงหรือเกียรติคุณของตน
เมื่อผู้สร้างสรรค์ถึงแก่ความตาย ทายาทมีสิทธิฟ้องร้องบังคับสิทธิดังกล่าวได้ตลอดอายุคุ้มครอง เว้นแต่มีข้อตกลงเป็นอย่างอื่นเป็นลายลักษณ์อักษร"
มาตรา 19 พ.ร.บ. ลิขสิทธิ์,"ลิขสิทธิ์มีตลอดอายุผู้สร้างสรรค์ และต่อไปอีก 50 ปีนับแต่ถึงแก่ความตาย ถ้ามีผู้สร้างสรรค์ร่วม ให้นับ 50 ปีจากการถึงแก่ความตายของผู้สร้างสรรค์คนสุดท้าย
ถ้าผู้สร้างสรรค์ถึงแก่ความตายก่อนโฆษณางาน ให้นับ 50 ปีจากการโฆษณาครั้งแรก
ถ้าผู้สร้างสรรค์เป็นนิติบุคคล ให้นับ 50 ปีจากการสร้างงาน แต่หากโฆษณาในระหว่างนั้น ให้นับ 50 ปีจากการโฆษณาครั้งแรก"
มาตรา 20 พ.ร.บ. ลิขสิทธิ์,"งานที่ใช้นามแฝงหรือไม่ปรากฏชื่อผู้สร้างสรรค์ ลิขสิทธิ์มีอายุ 50 ปีนับแต่สร้างงาน แต่หากโฆษณาในระหว่างนั้น ให้นับ 50 ปีจากการโฆษณาครั้งแรก
ถ้ารู้ตัวผู้สร้างสรรค์ ให้นำมาตรา 19 มาใช้โดยอนุโลม"
มาตรา 21 พ.ร.บ. ลิขสิทธิ์,ลิขสิทธิ์ในโสตทัศนวัสดุ ภาพยนตร์ สิ่งบันทึกเสียง หรืองานแพร่เสียงแพร่ภาพ มีอายุ 50 ปีนับแต่สร้างงาน แต่หากโฆษณาในระหว่างนั้น ให้นับ 50 ปีจากการโฆษณาครั้งแรก
มาตรา 22 พ.ร.บ. ลิขสิทธิ์,ลิขสิทธิ์ในงานศิลปประยุกต์ มีอายุ 25 ปีนับแต่สร้างงาน แต่หากโฆษณาในระหว่างนั้น ให้นับ 25 ปีจากการโฆษณาครั้งแรก
มาตรา 23 พ.ร.บ. ลิขสิทธิ์,งานที่สร้างขึ้นโดยการจ้าง คำสั่ง หรือภายใต้การควบคุมตามมาตรา 14 ลิขสิทธิ์มีอายุ 50 ปีนับแต่สร้างงาน แต่หากโฆษณาในระหว่างนั้น ให้นับ 50 ปีจากการโฆษณาครั้งแรก
มาตรา 24 พ.ร.บ. ลิขสิทธิ์,การโฆษณางานเพื่อเริ่มนับอายุการคุ้มครอง หมายถึง การโฆษณาที่ทำโดยความยินยอมของเจ้าของลิขสิทธิ์
มาตรา 25 พ.ร.บ. ลิขสิทธิ์,เมื่อครบกำหนดการคุ้มครอง หากวันครบกำหนดไม่ตรงกับวันสิ้นปีปฏิทิน หรือไม่ทราบวันแน่ชัด ให้ลิขสิทธิ์คงอยู่ถึงสิ้นปีปฏิทินนั้น
มาตรา 26 พ.ร.บ. ลิขสิทธิ์,การโฆษณางานหลังสิ้นอายุการคุ้มครอง ไม่ก่อให้เกิดลิขสิทธิ์ขึ้นใหม่ในงานนั้น
มาตรา 27 พ.ร.บ. ลิขสิทธิ์,"การกระทำแก่งานที่มีลิขสิทธิ์โดยไม่ได้รับอนุญาตตามมาตรา 15 (5) ถือเป็นการละเมิดลิขสิทธิ์ หากได้กระทำดังนี้
(1) ทำซ้ำหรือดัดแปลง
(2) เผยแพร่ต่อสาธารณชน"
มาตรา 28 พ.ร.บ. ลิขสิทธิ์,"การกระทำต่อโสตทัศนวัสดุ ภาพยนตร์ หรือสิ่งบันทึกเสียงที่มีลิขสิทธิ์โดยไม่ได้รับอนุญาตตามมาตรา 15 (5) ไม่ว่าในส่วนเสียงหรือภาพ ถือเป็นการละเมิดลิขสิทธิ์ หากได้กระทำดังนี้
(1) ทำซ้ำหรือดัดแปลง
(2) เผยแพร่ต่อสาธารณชน
(3) ให้เช่าต้นฉบับหรือสำเนา"
มาตรา 28/1 พ.ร.บ. ลิขสิทธิ์,การบันทึกเสียงหรือภาพ หรือทั้งเสียงและภาพจากภาพยนตร์ที่มีลิขสิทธิ์ในโรงภาพยนตร์ โดยไม่ได้รับอนุญาตตามมาตรา 15 (5) ระหว่างการฉาย ถือเป็นการละเมิดลิขสิทธิ์ และห้ามอ้างมาตรา 32 วรรคสอง (2)
มาตรา 29 พ.ร.บ. ลิขสิทธิ์,"การกระทำแก่งานแพร่เสียงแพร่ภาพที่มีลิขสิทธิ์โดยไม่ได้รับอนุญาตตามมาตรา 15 (5) ถือเป็นการละเมิดลิขสิทธิ์ หากได้กระทำดังนี้
(1) จัดทำโสตทัศนวัสดุ ภาพยนตร์ สิ่งบันทึกเสียง หรืองานแพร่เสียงแพร่ภาพ ไม่ว่าทั้งหมดหรือบางส่วน
(2) แพร่เสียงแพร่ภาพซ้ำ ไม่ว่าทั้งหมดหรือบางส่วน
(3) จัดให้ประชาชนฟังหรือชม โดยเก็บเงินหรือผลประโยชน์ทางการค้า"
มาตรา 30 พ.ร.บ. ลิขสิทธิ์,"การกระทำต่อโปรแกรมคอมพิวเตอร์ที่มีลิขสิทธิ์โดยไม่ได้รับอนุญาตตามมาตรา 15 (5) ถือเป็นการละเมิดลิขสิทธิ์ หากได้กระทำดังนี้
(1) ทำซ้ำหรือดัดแปลง
(2) เผยแพร่ต่อสาธารณชน
(3) ให้เช่าต้นฉบับหรือสำเนา"
มาตรา 31 พ.ร.บ. ลิขสิทธิ์,"ผู้ใดรู้อยู่แล้วหรือควรรู้ว่างานใดทำขึ้นโดยละเมิดลิขสิทธิ์ แต่กระทำเพื่อหากำไร ถือว่าละเมิดลิขสิทธิ์ หากได้กระทำดังนี้
(1) ขาย มีไว้เพื่อขาย เสนอขาย ให้เช่า เสนอให้เช่า ให้เช่าซื้อ หรือเสนอให้เช่าซื้อ
(2) เผยแพร่ต่อสาธารณชน
(3) แจกจ่ายในลักษณะที่ก่อให้เกิดความเสียหายแก่เจ้าของลิขสิทธิ์
(4) นำหรือสั่งเข้ามาในราชอาณาจักร"
มาตรา 32 ข้อยกเว้นการละเมิดลิขสิทธิ์ พ.ร.บ. ลิขสิทธิ์,"การกระทำแก่งานลิขสิทธิ์ของผู้อื่น หากไม่ขัดต่อการใช้ประโยชน์ตามปกติของเจ้าของลิขสิทธิ์ และไม่กระทบสิทธิของเจ้าของลิขสิทธิ์เกินสมควร ไม่ถือเป็นการละเมิดลิขสิทธิ์
ภายใต้หลักการดังกล่าว การกระทำต่อไปนี้ไม่เป็นการละเมิดลิขสิทธิ์
(1) วิจัยหรือศึกษา โดยไม่ทำเพื่อหากำไร
(2) ใช้เพื่อประโยชน์ตนเอง หรือร่วมกับครอบครัว/ญาติสนิท
(3) ติชม วิจารณ์ หรือแนะนำผลงาน โดยอ้างอิงถึงเจ้าของลิขสิทธิ์
(4) เสนอรายงานข่าวในสื่อมวลชน โดยอ้างอิงถึงเจ้าของลิขสิทธิ์
(5) ทำซ้ำ ดัดแปลง แสดง หรือนำออกปรากฏ เพื่อประโยชน์ในการพิจารณาของศาลหรือเจ้าพนักงานที่มีอำนาจ หรือรายงานผลการพิจารณา
(6) ทำซ้ำ ดัดแปลง แสดง หรือนำออกปรากฏโดยผู้สอน เพื่อประโยชน์ในการสอน โดยไม่แสวงหากำไร
(7) ทำซ้ำ ดัดแปลงบางส่วน หรือตัดทอน/ทำบทสรุป โดยผู้สอนหรือสถาบันศึกษา เพื่อแจกหรือขายแก่ผู้เรียนในชั้นเรียนหรือสถาบัน โดยไม่แสวงหากำไร
(8) ใช้งานนั้นเป็นส่วนหนึ่งในการถาม-ตอบในข้อสอบ"
มาตรา 32/1 พ.ร.บ. ลิขสิทธิ์,การจำหน่ายต้นฉบับหรือสำเนางานลิขสิทธิ์โดยผู้ที่ได้กรรมสิทธิ์มาโดยชอบด้วยกฎหมาย ไม่ถือเป็นการละเมิดลิขสิทธิ์
มาตรา 32/2 พ.ร.บ. ลิขสิทธิ์,การกระทำแก่งานลิขสิทธิ์ที่ทำหรือได้มาโดยชอบด้วยกฎหมายในระบบคอมพิวเตอร์ ซึ่งเป็นการทำซ้ำที่จำเป็นสำหรับการใช้งานให้อุปกรณ์หรือกระบวนการส่งงานในระบบคอมพิวเตอร์ทำงานตามปกติ ไม่ถือเป็นการละเมิดลิขสิทธิ์
มาตรา 5 พ.ร.บ. สิทธิบัตร,"การประดิษฐ์ที่จะขอรับสิทธิบัตรได้ ต้องมีลักษณะ
(1) เป็นการประดิษฐ์ใหม่
(2) มีขั้นการประดิษฐ์สูงขึ้น
(3) สามารถประยุกต์ใช้ในอุตสาหกรรม"
มาตรา 6 พ.ร.บ. สิทธิบัตร,"“การประดิษฐ์ใหม่” หมายถึง การประดิษฐ์ที่ไม่ปรากฏมาก่อน
“งานที่ปรากฏแล้ว” ได้แก่
(1) การประดิษฐ์ที่ใช้แพร่หลายในราชอาณาจักรก่อนวันขอรับสิทธิบัตร
(2) การประดิษฐ์ที่เปิดเผยรายละเอียดในเอกสาร/สิ่งพิมพ์ไม่ว่าที่ใด ก่อนวันขอ
(3) การประดิษฐ์ที่ได้รับสิทธิบัตรหรืออนุสิทธิบัตรแล้ว ไม่ว่าที่ใด ก่อนวันขอ
(4) การประดิษฐ์ที่มีการขอรับสิทธิบัตรนอกราชอาณาจักรเกิน 18 เดือน แต่ยังไม่ได้ออกสิทธิ
(5) การประดิษฐ์ที่มีการขอและประกาศโฆษณาแล้ว ก่อนวันขอในราชอาณาจักร
การเปิดเผยจากการกระทำมิชอบ หรือการเปิดเผยโดยผู้ประดิษฐ์เองในงานแสดง ต่อสาธารณะ หรืองานแสดงสินค้านานาชาติ ภายใน 12 เดือนก่อนวันขอ ไม่ถือเป็นการเปิดเผยตาม (2)"
มาตรา 7 พ.ร.บ. สิทธิบัตร,“ขั้นการประดิษฐ์สูงขึ้น” หมายถึง การประดิษฐ์ที่ไม่ประจักษ์โดยง่ายแก่ผู้ชำนาญงานในระดับสามัญ
มาตรา 8 พ.ร.บ. สิทธิบัตร,“ประยุกต์ใช้ในอุตสาหกรรม” หมายถึง การนำไปใช้ได้จริงในการผลิต ไม่ว่าอุตสาหกรรม หัตถกรรม เกษตรกรรม หรือพาณิชยกรรม
มาตรา 9 สิ่งที่ไม่ได้รับความคุ้มครองสิทธิบัตร พ.ร.บ. สิทธิบัตร,"(1) จุลชีพ ส่วนประกอบของจุลชีพธรรมชาติ สัตว์ พืช หรือสารสกัด
(2) กฎเกณฑ์และทฤษฎีวิทยาศาสตร์/คณิตศาสตร์
(3) ระบบข้อมูลสำหรับการทำงานของคอมพิวเตอร์
(4) วิธีวินิจฉัย บำบัด รักษาโรคมนุษย์หรือสัตว์
(5) การประดิษฐ์ที่ขัดต่อความสงบเรียบร้อย ศีลธรรมอันดี อนามัย หรือสวัสดิภาพประชาชน"
มาตรา 10 พ.ร.บ. สิทธิบัตร,"ผู้ประดิษฐ์มีสิทธิขอสิทธิบัตร และมีสิทธิให้ระบุชื่อในสิทธิบัตร
สิทธิขอรับสิทธิบัตรโอนหรือรับมรดกได้
การโอนสิทธิขอต้องทำเป็นหนังสือลงลายมือชื่อทั้งสองฝ่าย"
มาตรา 11 พ.ร.บ. สิทธิบัตร,"การประดิษฐ์ที่ลูกจ้างทำขึ้นตามสัญญาจ้าง หรือตามที่กำหนดให้ทำ การประดิษฐ์ สิทธิขอรับสิทธิบัตรเป็นของนายจ้าง เว้นแต่สัญญาจะระบุเป็นอย่างอื่น
ใช้บังคับถึงกรณีที่ลูกจ้างใช้วิธีการหรือข้อมูลที่ได้จากการเป็นลูกจ้าง แม้สัญญาจะไม่เกี่ยวกับการประดิษฐ์"
มาตรา 12 พ.ร.บ. สิทธิบัตร,"เพื่อความเป็นธรรมแก่ลูกจ้าง หากนายจ้างได้ประโยชน์จากการประดิษฐ์ ลูกจ้างมีสิทธิได้รับ บำเหน็จพิเศษ นอกเหนือค่าจ้าง สิทธินี้ไม่อาจตัดได้โดยสัญญา
ลูกจ้างยื่นคำขอได้ต่ออธิบดี ซึ่งมีอำนาจกำหนดบำเหน็จโดยคำนึงถึงค่าจ้าง ความสำคัญ และประโยชน์จากการประดิษฐ์"
มาตรา 13 พ.ร.บ. สิทธิบัตร,ข้าราชการหรือพนักงานรัฐ/รัฐวิสาหกิจ มีสิทธิเช่นเดียวกับลูกจ้างตามมาตรา 12 เว้นแต่ระเบียบกำหนดไว้ต่างหาก
มาตรา 14 พ.ร.บ. สิทธิบัตร,"ผู้ขอสิทธิบัตรต้องมีคุณสมบัติอย่างใดอย่างหนึ่ง
(1) สัญชาติไทย หรือนิติบุคคลที่มีสำนักงานใหญ่ในไทย
(2) สัญชาติประเทศภาคีอนุสัญญาคุ้มครองสิทธิบัตรที่ไทยร่วม
(3) สัญชาติประเทศที่ยอมให้คนไทยขอสิทธิบัตรได้
(4) มีภูมิลำเนาหรือประกอบอุตสาหกรรม/พาณิชยกรรมจริงในไทยหรือประเทศภาคี"
มาตรา 15 พ.ร.บ. สิทธิบัตร,"หากมีการประดิษฐ์ร่วม ผู้ประดิษฐ์มีสิทธิขอสิทธิบัตรร่วมกัน
ถ้าผู้ใดไม่ยอมร่วม หรือติดต่อไม่ได้ หรือไม่มีสิทธิ ผู้ประดิษฐ์อื่นขอในนามตนเองได้
ผู้ประดิษฐ์ร่วมที่ไม่ได้ร่วมขอ สามารถขอเข้าเป็นผู้ร่วมก่อนออกสิทธิได้ โดยให้พนักงานสอบสวนและอธิบดีวินิจฉัย"
มาตรา 16 พ.ร.บ. สิทธิบัตร,"หากหลายคนประดิษฐ์อย่างเดียวกันโดยอิสระ บุคคลที่ยื่นคำขอก่อนมีสิทธิ
ถ้ายื่นวันเดียวกัน ต้องตกลงกันว่าจะมีสิทธิร่วมกันหรือคนเดียว หากตกลงไม่ได้ ต้องนำคดีขึ้นศาลภายใน 90 วัน หากไม่ดำเนินการให้ถือว่าละทิ้งคำขอ"
มาตรา 17 พ.ร.บ. สิทธิบัตร,"การขอสิทธิบัตรต้องเป็นไปตามกฎกระทรวง และต้องมี
(1) ชื่อการประดิษฐ์
(2) ลักษณะและความมุ่งหมาย
(3) รายละเอียดที่สมบูรณ์และชัดแจ้ง พร้อมวิธีที่ดีที่สุด
(4) ข้อถือสิทธิ
(5) รายการอื่นที่กำหนด
หากคำขอสอดคล้องกับความตกลงระหว่างประเทศ ให้ถือว่าเป็นคำขอตามพระราชบัญญัตินี้"
มาตรา 18 พ.ร.บ. สิทธิบัตร,คำขอแต่ละฉบับขอได้เพียงการประดิษฐ์เดียว เว้นแต่หลายการประดิษฐ์มีความเกี่ยวพันจนถือว่าเป็นการประดิษฐ์เดียวกัน
มาตรา 19 พ.ร.บ. สิทธิบัตร,หากแสดงสิ่งประดิษฐ์ในงานแสดงสาธารณะที่รัฐจัดหรืออนุญาตในราชอาณาจักร และยื่นคำขอสิทธิบัตรภายใน 12 เดือนนับแต่วันเปิดงาน ให้ถือว่ายื่นคำขอในวันเปิดงานนั้น
มาตรา 19 ทวิ พ.ร.บ. สิทธิบัตร,บุคคลตามมาตรา 14 ที่ยื่นคำขอสิทธิบัตรนอกราชอาณาจักร สามารถยื่นในราชอาณาจักรภายใน 12 เดือนนับแต่วันยื่นครั้งแรก และขอให้นับวันยื่นครั้งแรกนั้นเป็นวันยื่นคำขอในราชอาณาจักรได้
มาตรา 35 พ.ร.บ. สิทธิบัตร,"สิทธิบัตรการประดิษฐ์มีอายุ 20 ปี นับแต่วันยื่นขอสิทธิบัตรในราชอาณาจักร
หากมีการดำเนินคดีตามมาตรา 16 มาตรา 74 หรือมาตรา 77 ฉ ไม่นับเวลาระหว่างการดำเนินคดีเป็นอายุสิทธิบัตร"
