เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 434 ความเสียหายเกิดจากโรงเรือน,"ถ้าความเสียหายเกิดจากโรงเรือน หรือสิ่งปลูกสร้างชำรุด หรือบำรุงรักษาไม่เพียงพอ ผู้ครองต้องรับผิดชดใช้ แต่ถ้าผู้ครองได้ใช้ความระมัดระวังสมควรแล้ว ให้เจ้าของเป็นผู้รับผิดแทน
บทบัญญัตินี้ใช้บังคับถึงความบกพร่องในการปลูกหรือค้ำจุนต้นไม้หรือกอไผ่ด้วย
ถ้ามีผู้อื่นต้องร่วมรับผิดในความเสียหายนั้น ผู้ครองหรือเจ้าของมีสิทธิไล่เบี้ยจากผู้นั้นได้"
มาตรา 435,ผู้ใดอาจประสบความเสียหายจากโรงเรือนหรือสิ่งปลูกสร้างของผู้อื่น มีสิทธิเรียกร้องให้จัดการแก้ไขเพื่อป้องกันอันตรายได้
มาตรา 436 ความเสียหายเกิดจากของตกหล่น,ผู้ครอบครองโรงเรือนต้องรับผิดในความเสียหายที่เกิดจากของตกหล่น หรือการทิ้งขว้างของไปในที่ไม่อันควร
มาตรา 437 ความเสียหายเกิดจากยานพาหนะ,"ผู้ครอบครองหรือควบคุมยานพาหนะที่ใช้เครื่องจักรกล ต้องรับผิดในความเสียหายจากยานนั้น เว้นแต่พิสูจน์ได้ว่าเกิดจากเหตุสุดวิสัย หรือเพราะความผิดของผู้เสียหาย
หลักนี้ใช้บังคับถึงผู้ครอบครองทรัพย์ที่โดยสภาพหรือการใช้งานเป็นของอันตราย หรือมีอาการกลไกที่ก่อให้เกิดอันตรายได้ด้วย"
มาตรา 438,ค่าสินไหมทดแทนที่ต้องชำระ ศาลจะวินิจฉัยตามพฤติการณ์และความร้ายแรงของการละเมิด ค่าสินไหมทดแทนรวมถึงการคืนทรัพย์ที่เสียไป หรือชำระราคาแทน พร้อมค่าเสียหายอื่น ๆ ที่เกิดขึ้น
มาตรา 439 คืนทรัพย์,ผู้ที่ต้องคืนทรัพย์เพราะละเมิด ต้องรับผิดแม้ทรัพย์ถูกทำลาย สูญหาย หรือเสื่อมเสียโดยอุบัติเหตุ เว้นแต่จะเป็นการที่ย่อมต้องเกิดขึ้นอยู่แล้วแม้ไม่มีการละเมิด
มาตรา 441 ผู้ละเมิดใช้ค่าสินไหมให้ผู้ครองทรัพย์,เมื่อผู้ทำละเมิดใช้ค่าสินไหมทดแทนแก่ผู้ครองทรัพย์ในขณะเอาไปหรือทำให้เสียหาย ถือว่าหลุดพ้นจากความรับผิด แม้เจ้าของแท้จริงหรือผู้มีสิทธิจะเป็นบุคคลอื่น เว้นแต่ผู้ชำระรู้หรือประมาทเลินเล่ออย่างร้ายแรงต่อสิทธิของบุคคลภายนอก
มาตรา 442 ต่างฝ่ายต่างประมาท,ถ้าความเสียหายเกิดจากความผิดของผู้เสียหายด้วย ให้นำมาตรา 223 มาใช้บังคับโดยอนุโลม
มาตรา 443 ค่าสินไหมทดแทนแก่ชีวิต,"ถ้าทำให้ผู้อื่นถึงตาย ค่าสินไหมทดแทนรวมค่าปลงศพและค่าใช้จ่ายจำเป็นอื่น ๆ
ถ้าไม่ได้ตายในทันที ต้องชดใช้ค่ารักษาพยาบาลและค่าเสียประโยชน์จากการทำงาน
ถ้าการตายทำให้ผู้หนึ่งขาดไร้อุปการะตามกฎหมาย ผู้นั้นมีสิทธิเรียกค่าสินไหมทดแทน"
มาตรา 444 ค่าสินไหมทดแทนแก่กายหรืออนามัย,"ถ้าทำให้เสียหายแก่ร่างกายหรืออนามัย ผู้เสียหายมีสิทธิเรียกค่าใช้จ่ายที่เสียไป และค่าเสียหายจากการสูญเสียความสามารถในการทำงานทั้งปัจจุบันและอนาคต
หากขณะพิพากษาไม่อาจประเมินความเสียหายแน่ชัด ศาลอาจสงวนสิทธิให้แก้ไขคำพิพากษาภายในสองปีได้"
มาตรา 445 ค่าสินไหมทดแทนขาดแรงงาน,หากทำให้ถึงตาย บาดเจ็บ สูญเสียอนามัย หรือเสรีภาพ และผู้เสียหายมีหน้าที่ต้องทำงานให้แก่บุคคลภายนอก ผู้กระทำละเมิดต้องชดใช้ค่าสินไหมทดแทนแก่บุคคลภายนอกที่ขาดแรงงานนั้นไปด้วย
มาตรา 446,"ผู้เสียหายจากการบาดเจ็บ สูญเสียอนามัย หรือเสรีภาพ อาจเรียกค่าสินไหมทดแทนเพื่อความเสียหายที่มิใช่ตัวเงินได้ สิทธินี้โอนหรือสืบไปยังทายาทไม่ได้ เว้นแต่มีสัญญาหรือได้เริ่มฟ้องแล้ว
หญิงที่ถูกกระทำผิดอาญาอันเป็นทุศีลธรรมก็มีสิทธิเรียกค่าสินไหมทดแทนเช่นเดียวกัน"
มาตรา 447 ค่าสินไหมทดแทนชื่อเสียง,ถ้าถูกทำให้เสียชื่อเสียง เมื่อผู้เสียหายร้องขอ ศาลอาจสั่งให้ผู้กระทำจัดการกู้คืนชื่อเสียงแทนการชำระค่าเสียหาย หรืออาจให้ทำทั้งสองอย่างก็ได้
มาตรา 449,"ผู้ใดกระทำการป้องกันโดยชอบด้วยกฎหมาย หรือทำตามคำสั่งอันชอบด้วยกฎหมาย แม้ก่อให้เกิดความเสียหายแก่ผู้อื่น ก็ไม่ต้องรับผิดใช้ค่าสินไหมทดแทน
ผู้เสียหายอาจเรียกค่าสินไหมทดแทนจากผู้ที่เป็นต้นเหตุให้ต้องป้องกัน หรือจากผู้สั่งการโดยมิชอบได้"
มาตรา 450,"ถ้าทำให้ทรัพย์เสียหายเพื่อป้องกันภยันตรายสาธารณะโดยฉุกเฉิน ไม่ต้องใช้ค่าสินไหมทดแทน หากความเสียหายไม่เกินสมควรแก่เหตุ
ถ้าทำให้ทรัพย์เสียหายเพื่อป้องกันภยันตรายที่เกิดแก่เอกชน ต้องคืนทรัพย์นั้น
ถ้าทำให้ทรัพย์เสียหายเพื่อป้องกันสิทธิของตนหรือผู้อื่น เพราะทรัพย์นั้นเองก่อภยันตราย ไม่ต้องรับผิดชดใช้ หากความเสียหายไม่เกินสมควรแก่เหตุ แต่ถ้าภยันตรายนั้นเกิดจากความผิดของผู้กระทำเอง ต้องรับผิดชดใช้"
มาตรา 451,"บุคคลใช้กำลังเพื่อป้องกันสิทธิของตนได้ หากไม่อาจขอศาลหรือเจ้าหน้าที่ช่วยเหลือได้ทันท่วงที และหากไม่กระทำทันที สิทธินั้นจะเสียไปหรือชักช้าเกินควร บุคคลนั้นไม่ต้องรับผิดชดใช้
การใช้กำลังต้องจำกัดเฉพาะที่จำเป็นเพื่อป้องกันภยันตราย
ถ้าผู้กระทำทำไปเพราะเข้าใจผิดว่ามีเหตุจำเป็น แม้จะมิใช่ความประมาท ก็ยังต้องรับผิดชดใช้"
มาตรา 452,"ผู้ครองอสังหาริมทรัพย์มีสิทธิจับสัตว์ของผู้อื่นที่เข้ามาทำความเสียหายในที่ดินของตน และยึดไว้เป็นประกันค่าสินไหมทดแทนได้ และหากจำเป็นก็ฆ่าสัตว์นั้นได้
แต่ต้องรีบบอกเจ้าของสัตว์โดยไม่ชักช้า และหากหาตัวเจ้าของไม่พบ ต้องดำเนินการตามสมควรเพื่อสืบหาเจ้าของ"
พ.ร.บ. ความรับผิดทางละเมิดของเจ้าหน้าที่ 2539 มาตรา 4,"“เจ้าหน้าที่” หมายถึง ข้าราชการ พนักงาน ลูกจ้าง หรือผู้ปฏิบัติงานประเภทอื่น ไม่ว่าจะได้รับแต่งตั้งเป็นกรรมการหรือในฐานะอื่นใด
“หน่วยงานของรัฐ” หมายถึง กระทรวง ทบวง กรม หรือส่วนราชการที่มีฐานะเป็นกรม ราชการส่วนภูมิภาค ราชการส่วนท้องถิ่น และรัฐวิสาหกิจที่ตั้งขึ้นโดยพระราชบัญญัติหรือพระราชกฤษฎีกา รวมทั้งหน่วยงานอื่นที่พระราชกฤษฎีกากำหนดให้เป็นหน่วยงานของรัฐตามพระราชบัญญัตินี้"
พ.ร.บ. ความรับผิดทางละเมิดของเจ้าหน้าที่ 2539 มาตรา 5,"หน่วยงานของรัฐต้องรับผิดต่อผู้เสียหายจากการละเมิดที่เจ้าหน้าที่กระทำในการปฏิบัติหน้าที่ ผู้เสียหายฟ้องหน่วยงานของรัฐได้โดยตรง แต่ฟ้องเจ้าหน้าที่ไม่ได้
ถ้าเจ้าหน้าที่ผู้ก่อการละเมิดไม่ได้สังกัดหน่วยงานของรัฐใด ให้ถือว่ากระทรวงการคลังเป็นหน่วยงานของรัฐที่ต้องรับผิด"
พ.ร.บ. ความรับผิดทางละเมิดของเจ้าหน้าที่ 2539 มาตรา 6,ถ้าการละเมิดของเจ้าหน้าที่ไม่ใช่การปฏิบัติหน้าที่ เจ้าหน้าที่ต้องรับผิดเป็นการเฉพาะตัว ผู้เสียหายฟ้องเจ้าหน้าที่ได้โดยตรง แต่ฟ้องหน่วยงานของรัฐไม่ได้
พ.ร.บ. ความรับผิดทางละเมิดของเจ้าหน้าที่ 2539 มาตรา 8,"ถ้าหน่วยงานของรัฐต้องใช้ค่าสินไหมทดแทนแก่ผู้เสียหายเพราะการละเมิดของเจ้าหน้าที่ หน่วยงานมีสิทธิเรียกให้เจ้าหน้าที่ชดใช้ หากเจ้าหน้าที่กระทำโดยจงใจหรือประมาทเลินเล่ออย่างร้ายแรง
สิทธิเรียกชดใช้ดังกล่าว ศาลจะพิจารณาตามความร้ายแรงและความเป็นธรรม ไม่จำเป็นต้องให้ใช้เต็มจำนวนความเสียหายก็ได้
ถ้าการละเมิดเกิดจากความผิดหรือความบกพร่องของหน่วยงานหรือระบบการดำเนินงานส่วนรวม ต้องหักส่วนความรับผิดนั้นออกด้วย
ถ้าการละเมิดเกิดจากเจ้าหน้าที่หลายคน จะไม่ใช้หลักลูกหนี้ร่วม และแต่ละคนต้องรับผิดเฉพาะส่วนของตนเท่านั้น"
