เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 685,ถ้าผู้ค้ำประกันไม่ชำระหนี้ทั้งหมดของลูกหนี้ รวมทั้งดอกเบี้ย ค่าสินไหมทดแทน และอุปกรณ์ หนี้ที่เหลืออยู่ ลูกหนี้ยังคงต้องรับผิดต่อเจ้าหนี้ในส่วนนั้น
มาตรา 685/1 ข้อตกลงที่โมฆะ,ข้อตกลงเกี่ยวกับการค้ำประกันที่ขัดกับมาตรา 681 วรรคหนึ่ง วรรคสอง วรรคสาม มาตรา 686 มาตรา 694 มาตรา 698 และมาตรา 699 เป็นโมฆะ
มาตรา 686 การบอกกล่าวก่อนฟ้อง,"เมื่อลูกหนี้ผิดนัด เจ้าหนี้ต้องมีหนังสือบอกกล่าวผู้ค้ำประกันภายใน 60 วันนับแต่วันผิดนัด และเจ้าหนี้จะเรียกให้ผู้ค้ำประกันชำระก่อนหนังสือถึงไม่ได้ แต่ผู้ค้ำยังมีสิทธิชำระเมื่อหนี้ถึงกำหนด
ถ้าเจ้าหนี้ไม่บอกกล่าวภายในกำหนด ผู้ค้ำพ้นความรับผิดในดอกเบี้ย ค่าสินไหมทดแทน และภาระติดพันที่เกิดหลังพ้นกำหนด
เมื่อเจ้าหนี้มีสิทธิเรียกหรือผู้ค้ำมีสิทธิชำระตามวรรคหนึ่ง ผู้ค้ำอาจชำระหนี้ทั้งหมดหรือชำระตามเงื่อนไขและวิธีเดียวกับลูกหนี้ก่อนผิดนัดได้ เฉพาะในส่วนที่ตนต้องรับผิด และให้นำมาตรา 701 วรรคสองมาใช้โดยอนุโลม
ในระหว่างที่ผู้ค้ำชำระหนี้ตามเงื่อนไขดังกล่าว เจ้าหนี้จะเรียกดอกเบี้ยเพิ่มเพราะการผิดนัดไม่ได้
การชำระหนี้ของผู้ค้ำตามมาตรานี้ ไม่กระทบสิทธิของผู้ค้ำตามมาตรา 693"
มาตรา 688 ผู้ค้ำเกี่ยงหนี้,เมื่อเจ้าหนี้ทวงให้ผู้ค้ำชำระหนี้ ผู้ค้ำมีสิทธิขอให้เรียกบุคคลลูกหนี้ชำระก่อน เว้นแต่ลูกหนี้ถูกพิพากษาล้มละลาย หรือไม่ปรากฏที่อยู่ในพระราชอาณาเขต
มาตรา 689 ผู้ค้ำเกี่ยงให้บังคับจากทรัพย์ลูกหนี้,ถึงแม้จะได้เรียกลูกหนี้ชำระแล้วก็ตาม หากผู้ค้ำพิสูจน์ได้ว่าลูกหนี้สามารถชำระได้และการบังคับไม่ยาก เจ้าหนี้ต้องบังคับหนี้จากทรัพย์ของลูกหนี้ก่อน
มาตรา 690 บังคับจากทรัพย์ที่วางก่อน,ถ้าเจ้าหนี้มีทรัพย์ของลูกหนี้เป็นประกันไว้ เมื่อผู้ค้ำร้องขอ เจ้าหนี้ต้องชำระหนี้จากทรัพย์ประกันนั้นก่อน
มาตรา 691,"เมื่อเจ้าหนี้ตกลงกับลูกหนี้เพื่อลดหนี้รวมทั้งดอกเบี้ย ค่าสินไหม หรือภาระติดพัน เจ้าหนี้ต้องแจ้งผู้ค้ำภายใน 60 วัน หากลูกหนี้ชำระตามที่ลด หรือชำระไม่ครบแต่ผู้ค้ำชำระส่วนที่เหลือ หรือผู้ค้ำชำระแทนทั้งหมด ผู้ค้ำพ้นจากการค้ำประกัน
ผู้ค้ำมีสิทธิชำระแม้พ้นกำหนด แต่ต้องไม่เกิน 60 วันนับแต่ครบกำหนด หรือหากเจ้าหนี้แจ้งช้า ให้นับ 60 วันจากวันที่ได้รับแจ้ง
ข้อตกลงที่ทำหลังลูกหนี้ผิดนัดและขยายเวลา ไม่ถือเป็นการผ่อนเวลาตามมาตรา 700
ข้อตกลงที่เพิ่มภาระแก่ผู้ค้ำมากกว่าที่กำหนดไว้เป็นโมฆะ"
มาตรา 692,อายุความที่สะดุดหยุดลงเป็นโทษแก่ลูกหนี้ ย่อมเป็นโทษแก่ผู้ค้ำด้วย
มาตรา 693 สิทธิไล่เบี้ย,ผู้ค้ำที่ชำระหนี้แล้ว มีสิทธิไล่เบี้ยเอาจากลูกหนี้ ทั้งต้นเงิน ดอกเบี้ย และความเสียหายที่เกิดจากการค้ำประกัน อีกทั้งยังเข้ารับช่วงสิทธิของเจ้าหนี้เหนือลูกหนี้ด้วย
มาตรา 694 ข้อต่อสู้,นอกจากข้อต่อสู้ที่ผู้ค้ำมีต่อเจ้าหนี้ ผู้ค้ำยังยกข้อต่อสู้ที่ลูกหนี้มีต่อเจ้าหนี้ขึ้นต่อสู้ได้ด้วย
มาตรา 695,ผู้ค้ำที่ละเลยไม่ยกข้อต่อสู้ของลูกหนี้ขึ้นต่อสู้กับเจ้าหนี้ จะสิ้นสิทธิไล่เบี้ยจากลูกหนี้ในส่วนนั้น เว้นแต่พิสูจน์ได้ว่าไม่รู้ถึงข้อต่อสู้ดังกล่าว และการไม่รู้นั้นไม่ใช่ความผิดของตน
มาตรา 697,ถ้าเจ้าหนี้มีการกระทำใด ๆ อันทำให้ผู้ค้ำไม่อาจเข้ารับช่วงสิทธิ จำนอง จำนำ หรือบุริมสิทธิที่มีต่อหนี้นั้นได้ทั้งหมดหรือบางส่วน ผู้ค้ำย่อมพ้นความรับผิดเพียงเท่าที่ตนเสียหายเพราะเหตุนั้น
มาตรา 698,ผู้ค้ำประกันพ้นจากความรับผิดเมื่อหนี้ของลูกหนี้ระงับไม่ว่าด้วยเหตุใด
มาตรา 699,การค้ำประกันไม่จำกัดเวลา ผู้ค้ำอาจเลิกได้สำหรับกิจการในอนาคต โดยบอกกล่าวแก่เจ้าหนี้ และไม่ต้องรับผิดหลังจากที่เจ้าหนี้ได้รับคำบอกกล่าว
มาตรา 700,"ถ้าหนี้มีเวลาชำระแน่นอน และเจ้าหนี้ยอมผ่อนเวลาให้ลูกหนี้ ผู้ค้ำพ้นจากความรับผิด เว้นแต่จะตกลงยินยอมผ่อนเวลาด้วย
ข้อตกลงล่วงหน้าที่ให้ผู้ค้ำยินยอมผ่อนเวลาใช้บังคับมิได้
ข้อยกเว้นนี้ไม่ใช้กับผู้ค้ำที่เป็นสถาบันการเงินหรือค้ำประกันเพื่อสินจ้างเป็นปกติ"
มาตรา 701,ผู้ค้ำมีสิทธิชำระหนี้แก่เจ้าหนี้ได้เมื่อถึงกำหนด หากเจ้าหนี้ไม่รับ ผู้ค้ำย่อมพ้นจากความรับผิด
มาตรา 702 จำนอง,จำนอง คือสัญญาที่ผู้จำนองนำทรัพย์ตราไว้แก่ผู้รับจำนองเพื่อประกันหนี้ โดยไม่ต้องส่งมอบทรัพย์ ผู้รับจำนองมีสิทธิได้รับชำระหนี้จากทรัพย์จำนองก่อนเจ้าหนี้สามัญ ไม่ว่าจะมีการโอนกรรมสิทธิ์แก่บุคคลภายนอกหรือไม่
มาตรา 705,เฉพาะเจ้าของทรัพย์ในขณะนั้นเท่านั้นที่มีสิทธิจำนอง
มาตรา 707,บทบัญญัติมาตรา 681 เรื่องค้ำประกัน ใช้บังคับแก่จำนองโดยอนุโลม
มาตรา 708 ระบุจำนวนเงิน,สัญญาจำนองต้องระบุจำนวนเงินเป็นเงินไทยแน่นอน หรือจำนวนขั้นสูงสุดที่ใช้ประกันหนี้
มาตรา 711,ข้อตกลงล่วงหน้าว่า หากไม่ชำระหนี้ผู้รับจำนองจะได้กรรมสิทธิ์ทรัพย์ หรือจัดการทรัพย์ต่างไปจากการบังคับจำนองตามกฎหมาย ข้อตกลงนั้นไม่สมบูรณ์
มาตรา 712 จำนองซ้ำ,แม้มีข้อสัญญาเป็นอย่างอื่น ก็สามารถนำทรัพย์ที่จำนองไว้แล้วไปจำนองซ้ำกับผู้อื่นได้ในระหว่างที่สัญญาก่อนยังมีผล
มาตรา 714 แบบ,สัญญาจำนองต้องทำเป็นหนังสือและจดทะเบียนต่อพนักงานเจ้าหน้าที่
มาตรา 714/1 ข้อตกลงเป็นโมฆะ,ข้อตกลงเกี่ยวกับการจำนองที่ขัดกับมาตรา 728 มาตรา 729 และมาตรา 735 เป็นโมฆะ
มาตรา 715,"ทรัพย์สินที่จำนองเป็นประกันหนี้ รวมถึง
(1) ดอกเบี้ย
(2) ค่าสินไหมทดแทนจากการไม่ชำระหนี้
(3) ค่าฤชาธรรมเนียมในการบังคับจำนอง"
มาตรา 716,จำนองครอบคลุมทรัพย์สินที่จำนองทั้งหมด แม้ชำระหนี้ไปบางส่วนแล้ว
มาตรา 717,แม้ทรัพย์สินที่จำนองจะแบ่งเป็นหลายส่วน จำนองก็ยังครอบคลุมทุกส่วน เว้นแต่ผู้รับจำนองยินยอมให้โอนบางส่วนปลอดจากจำนอง ซึ่งหากไม่จดทะเบียน ความยินยอมจะยกขึ้นต่อสู้บุคคลภายนอกไม่ได้
มาตรา 718,จำนองครอบคลุมทรัพย์ที่ติดพันกับทรัพย์ที่จำนอง ภายใต้ข้อจำกัดตามสามมาตราต่อไปนี้
มาตรา 719,จำนองที่ดินไม่ครอบคลุมเรือนโรงที่ปลูกสร้างภายหลัง เว้นแต่มีระบุในสัญญา แต่ผู้รับจำนองอาจขายเรือนรวมกับที่ดินได้ โดยใช้บุริมสิทธิได้เฉพาะราคาที่ดิน
มาตรา 720,จำนองเรือนหรือสิ่งปลูกสร้างบนที่ดินของผู้อื่น ไม่ครอบคลุมที่ดิน และในทางกลับกันก็เช่นเดียวกัน
มาตรา 721,จำนองไม่ครอบคลุมดอกผล เว้นแต่ผู้รับจำนองได้บอกกล่าวผู้จำนองหรือผู้รับโอนว่าจะบังคับจำนอง
มาตรา 722,ถ้าทรัพย์ถูกจำนองแล้ว และภายหลังมีการจดทะเบียนภาระจำยอมหรือสิทธิอื่นโดยไม่ได้รับยินยอมจากผู้รับจำนอง สิทธิจำนองย่อมมีผลเหนือกว่า และหากกระทบสิทธิของผู้รับจำนองในการบังคับจำนอง ให้ลบสิทธิที่เกิดภายหลังนั้นออกจากทะเบียน
มาตรา 723,ถ้าทรัพย์ที่จำนองบุบสลายหรือสูญหายจนไม่พอประกันหนี้ ผู้รับจำนองอาจบังคับจำนองได้ทันที เว้นแต่ความเสียหายไม่เกิดจากความผิดของผู้จำนอง และผู้จำนองเสนอจะจำนองทรัพย์อื่นแทนหรือซ่อมแซมภายในเวลาสมควร
มาตรา 724,"ผู้จำนองที่จำนองทรัพย์เพื่อหนี้ของผู้อื่น และได้ชำระหนี้แทนเพื่อหลีกเลี่ยงการบังคับจำนอง มีสิทธิเรียกคืนจากลูกหนี้ตามจำนวนที่ชำระ
หากถูกบังคับจำนอง ก็มีสิทธิเรียกคืนตามจำนวนที่เจ้าหนี้ได้รับจากการบังคับจำนอง"
มาตรา 725,ถ้าหลายคนจำนองทรัพย์ของตนเพื่อประกันหนี้รายเดียวโดยไม่กำหนดลำดับ ผู้ที่ชำระหนี้หรือทรัพย์ถูกบังคับจำนอง ไม่มีสิทธิไล่เบี้ยเอาจากผู้จำนองคนอื่น
มาตรา 726,ถ้าหลายคนจำนองทรัพย์ของตนเพื่อประกันหนี้รายเดียว และได้กำหนดลำดับไว้ หากผู้รับจำนองปลดหนี้ให้ผู้จำนองคนหนึ่ง ผู้จำนองที่เหลือย่อมพ้นจากความรับผิดตามส่วนที่ตนเสียหายจากการนั้น
มาตรา 727,"ให้นำมาตรา 691, 697, 700 และ 701 มาใช้กับกรณีที่มีการจำนองเพื่อประกันหนี้ของผู้อื่นโดยอนุโลม"
มาตรา 727/1 ความรับผิดผู้จำนองให้คนอื่น,"ผู้จำนองที่จำนองทรัพย์เพื่อประกันหนี้ของผู้อื่น ไม่ต้องรับผิดเกินกว่าราคาทรัพย์ในเวลาบังคับจำนองหรือหลุดจำนอง
ข้อตกลงให้ผู้จำนองรับผิดเกินกว่านี้ หรือให้รับผิดเสมือนผู้ค้ำประกัน เป็นโมฆะ ไม่ว่าข้อตกลงนั้นอยู่ในสัญญาจำนองหรือแยกต่างหาก เว้นแต่เป็นกรณีที่นิติบุคคลเป็นลูกหนี้ และผู้มีอำนาจจัดการหรือควบคุมของนิติบุคคลนั้นนำทรัพย์ของตนมาจำนองเพื่อหนี้ของนิติบุคคล และได้ทำสัญญาค้ำประกันไว้ต่างหาก"
มาตรา 728 บังคับจำนอง,"เมื่อจะบังคับจำนอง ผู้รับจำนองต้องบอกกล่าวให้ลูกหนี้ชำระหนี้ภายในเวลาที่กำหนดไม่น้อยกว่า 60 วัน หากลูกหนี้ไม่ชำระ ผู้รับจำนองสามารถฟ้องศาลเพื่อยึดทรัพย์จำนองและขายทอดตลาดได้
ถ้าผู้จำนองนำทรัพย์มาค้ำหนี้ของผู้อื่น ผู้รับจำนองต้องบอกกล่าวผู้จำนองภายใน 15 วันนับแต่วันที่แจ้งลูกหนี้ หากไม่ทำ ผู้จำนองพ้นจากความรับผิดในดอกเบี้ย ค่าสินไหม และภาระติดพันที่เกิดขึ้นหลังพ้นกำหนด 15 วันนั้น"
มาตรา 729 ทรัพย์จำนองหลุด,"การบังคับจำนอง หากไม่มีจำนองอื่นหรือบุริมสิทธิอื่นที่จดทะเบียน ผู้รับจำนองสามารถฟ้องศาลเพื่อเอาทรัพย์จำนองหลุดแทนการขายทอดตลาดได้ โดยมีเงื่อนไขว่า
(1) ลูกหนี้ขาดส่งดอกเบี้ยไม่น้อยกว่า 5 ปี และ
(2) ศาลพอใจว่าราคาทรัพย์ต่ำกว่าหนี้ที่ค้างชำระ"
มาตรา 729/1,"หลังหนี้ถึงกำหนด หากไม่มีจำนองหรือบุริมสิทธิอื่นที่จดทะเบียนเหนือทรัพย์ ผู้จำนองมีสิทธิแจ้งเป็นหนังสือให้ผู้รับจำนองขายทอดตลาดทรัพย์โดยไม่ต้องฟ้องศาล ผู้รับจำนองต้องขายภายใน 1 ปีนับแต่วันที่ได้รับแจ้ง และถือว่าหนังสือแจ้งนั้นเป็นการยินยอมให้ขายทอดตลาด
หากผู้รับจำนองไม่ขายภายในกำหนด ผู้จำนองพ้นจากความรับผิดในดอกเบี้ย ค่าสินไหม และภาระติดพันที่เกิดขึ้นหลังจากนั้น
เมื่อขายทอดตลาดแล้วได้เงินสุทธิ ผู้รับจำนองต้องนำไปชำระหนี้และอุปกรณ์ หากเหลือต้องคืนแก่ผู้จำนองหรือผู้มีสิทธิ หากเงินไม่พอ ให้เป็นไปตามมาตรา 733 และถ้าผู้จำนองค้ำหนี้แทนผู้อื่น ย่อมรับผิดเพียงเท่าที่มาตรา 727/1 กำหนด"
มาตรา 733 ลูกหนี้ไม่ต้องรับผิดในส่วนที่ขาด,หากเอาทรัพย์จำนองหลุดหรือขายทอดตลาดแล้วได้เงินสุทธิน้อยกว่าหนี้ที่ค้าง ลูกหนี้ไม่ต้องรับผิดในส่วนที่ขาด
มาตรา 735,เมื่อผู้รับจำนองจะบังคับจำนองกับผู้รับโอนทรัพย์ ต้องมีหนังสือบอกกล่าวผู้รับโอนล่วงหน้าไม่น้อยกว่า 60 วัน จึงจะบังคับได้
มาตรา 744,"จำนองระงับสิ้นไปเมื่อ
(1) หนี้ที่ประกันระงับสิ้นไปด้วยเหตุอื่นที่ไม่ใช่อายุความ
(2) ปลดจำนองด้วยหนังสือ
(3) ผู้จำนองหลุดพ้น
(4) ถอนจำนอง
(5) ขายทอดตลาดทรัพย์จำนองตามคำสั่งศาลจากการบังคับจำนอง หรือถอนจำนอง หรือขายทอดตลาดตามมาตรา 729/1
(6) เอาทรัพย์จำนองหลุด"
มาตรา 745,ผู้รับจำนองบังคับจำนองได้แม้หนี้ขาดอายุความแล้ว แต่บังคับเอาดอกเบี้ยค้างชำระเกินกว่า 5 ปีไม่ได้
มาตรา 746,การชำระหนี้ไม่ว่าทั้งหมดหรือบางส่วน การระงับหนี้ หรือการแก้ไขเปลี่ยนแปลงจำนองหรือหนี้ที่ประกัน ต้องนำไปจดทะเบียนต่อพนักงานเจ้าหน้าที่เมื่อมีผู้ขอ มิฉะนั้นไม่อาจยกขึ้นสู้บุคคลภายนอกได้
มาตรา 747,จำนำ คือสัญญาที่ผู้จำนำส่งมอบสังหาริมทรัพย์ให้แก่ผู้รับจำนำ เพื่อประกันการชำระหนี้
มาตรา 756,ข้อตกลงล่วงหน้าว่า หากไม่ชำระหนี้ ผู้รับจำนำจะได้กรรมสิทธิ์ในทรัพย์ที่จำนำ หรือจัดการทรัพย์ต่างไปจากวิธีบังคับจำนำตามกฎหมาย ข้อตกลงนั้นไม่สมบูรณ์
มาตรา 761,ถ้าในสัญญาไม่ได้กำหนดไว้เป็นอย่างอื่น ดอกผลนิตินัยที่งอกจากทรัพย์สินจำนำ ผู้รับจำนำต้องนำไปใช้ชำระดอกเบี้ยค้างก่อน หากไม่มีดอกเบี้ยค้าง ให้หักเป็นการชำระต้นเงินที่จำนำประกัน
มาตรา 764,"เมื่อจะบังคับจำนำ ผู้รับจำนำต้องบอกกล่าวเป็นหนังสือให้ลูกหนี้ชำระหนี้และอุปกรณ์ภายในเวลาที่กำหนด
หากลูกหนี้ไม่ชำระ ผู้รับจำนำมีสิทธิขายทรัพย์ที่จำนำโดยวิธีขายทอดตลาด
ผู้รับจำนำต้องบอกกล่าวผู้จำนำแจ้งเวลาและสถานที่ขายด้วย"
